place_type,place_name,link_name,condo_link
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,https://propertyhub.in.th/en/listings/condo-for-sale-chewathai-residence-asoke-1-bedroom-14th-floor-near-condo-for-sale-chewathai-residence-asoke-⭕line-id-589peqai---3846592
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,https://propertyhub.in.th/en/listings/condo-for-sale-chapter-one-the-campus-ladprao-1-type-1-bedroom-size-32-99-sqm-5th-floor-near-bts-ha-yaek-lat-phrao-⭕line-id-589peqai---3848112
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,https://propertyhub.in.th/en/listings/condo-for-sale-the-tempo-phaholyothin-2-2-bedrooms-6th-floor-near-phayathai-hospital-⭕line-id-589peqai---3865014
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,https://propertyhub.in.th/en/listings/condo-for-sale-fuse-miti-ratchada-sutthisan-1-bedroom-14th-floor-near-sutthisan-fire-station--b20c0960---3880347
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,https://propertyhub.in.th/en/listings/condo-for-sale-life-one-wireless-1-bedroom-14th-floor-near-central-chidlom---3882160
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,https://propertyhub.in.th/en/listings/condo-for-sale-ideo-q-victory-2-bedrooms-size-60-39-sqm-22nd-floor-near-bts-victory-monument--b30c0993---3884550
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,https://propertyhub.in.th/en/listings/condo-for-sale-metro-luxe-rose-gold-phaholyothin-sutthisan-1-bedroom-6th-floor-building-a-near-bts-saphan-khwai--b68d094f---3895247
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,https://propertyhub.in.th/en/listings/condo-for-sale-aspire-rama-9-1-bedroom-12th-floor-building-a-near-mrt-rama-9--a80208f3---3896775
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,https://propertyhub.in.th/en/listings/condo-for-sale-bts-residence-1-bedroom-10th-floor-near-central-ladprao--a78508f9---3898269
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,https://propertyhub.in.th/en/listings/condo-for-sale-house-23-ratchada-ladprao-1-bedroom-15th-floor-near-mrt-lat-phrao--a9410963---3898286
