46.7s 1 curl: /opt/conda/lib/libcurl.so.4: no version information available (required by curl)
86.3s 2 Google Chrome 114.0.5735.198
87.4s 3 ChromeDriver 114.0.5735.90 (386bc09e8f4f2e025eddae123f36f6263096ae49-refs/branch-heads/5735@{#1052})
88.1s 4 Data imported Project: 1664 records
89.2s 5 Web driver is set up
97.5s 6 1st lat and lon adjustments are calculated
113.5s 7 2nd lat and lon adjustments are calculated
113.5s 8 Start scraping geocodes ...
113.5s 9 ------------------------------
772.8s 66 Done 56: (13.729438732432392,100.5964475259578) ARTi Sukhumvit 71, Watthana Bangkok
778.9s 67 Done 57: (13.792044732432393,100.5811327259578) ASHER PRIVÉ SUTTHISAN, Huai Khwang Bangkok
785.2s 68 Done 58: (13.785971532432393,100.5848242259578) ASHER Ratchada - Huai Khwang, Huai Khwang Bangkok
791.3s 69 Done 59: (13.860515832432393,100.5083269259578) ASPIRE Rattanathibet-Weston, Muang Nonthaburi Nonthaburi
796.7s 70 Done 60: (13.725051032432393,100.5720373259578) Aashiana Sukhumvit 26, Khlong Toei Bangkok
802.7s 71 Done 61: (13.751799132432392,100.6286936259578) Abac Condotown, Saphan Sung Bangkok
807.8s 72 Done 62: (13.615749032432392,100.8456820259578) Abaconi Living Condo (ABAC Bangna Campus), Bang Bo Samut Prakarn
814.3s 73 Done 63: (13.804572632432393,100.5784722259578) Ables Ladprao 27, Chatuchak Bangkok
820.7s 74 Done 64: (13.817683432432393,100.5650900259578) Abstracts Phahonyothin Park, Chatuchak Bangkok
827.0s 75 Done 65: (13.679785432432393,100.6071202259578) Abstracts Sukhumvit 66/1, Bang Na Bangkok
833.0s 76 Done 66: (13.729444132432393,100.5729051259578) Acadamia Grand Tower, Watthana Bangkok
838.9s 77 Done 67: (12.893254232432392,100.8760015259578) Acqua, Bang Lamung Chonburi
860.0s 78 Done 68: (13.779412132432393,100.5392343259578) Adamas Phahonyotin, Bangkok
865.6s 79 Done 69: (13.904919932432392,100.5315469259578) Addera Chaengwattana, Pak Kret Nonthaburi
872.1s 80 Done 70: (13.727680732432393,100.5754730259578) Aequa Sukhumvit 49, Watthana Bangkok
877.6s 81 Done 71: (12.871145132432392,100.8896353259578) Aeras Pattaya, Bang Lamung Chonburi
883.2s 82 Done 72: (13.725067032432392,100.5647482259578) Aguston Sukhumvit 22, Khlong Toei Bangkok
889.2s 83 Done 73: (13.736357432432392,100.74463642595781) Airlink Residence, Lat Krabang Bangkok
899.9s 84 Done 74: (18.751268332432396,98.9557311259578) Airport Home Condominium, Mai
905.9s 85 Done 75: (13.857763932432393,100.5267902259578) Akesin Place, Muang Nonthaburi Nonthaburi
911.1s 86 Done 76: (13.857763932432393,100.5267902259578) Akesin Tower, Muang Nonthaburi Nonthaburi
916.6s 87 Done 77: (8.040660932432392,98.2890389259578) Akra Collection Layan, Thalang Phuket
922.3s 88 Done 78: (13.974422332432393,100.3358071259578) Aland Condo, Sai Noi Nonthaburi
928.6s 89 Done 79: (13.650521332432392,100.6301549259578) Alisha Court, Bang Na Bangkok
934.0s 90 Done 80: (13.855046332432392,100.51935622595781) Aliss Tiwanon, Muang Nonthaburi Nonthaburi
940.4s 91 Done 81: (13.723279432432392,100.4927348259578) Aliss Wongwianyai, Khlong San Bangkok
945.9s 92 Done 82: (13.739525432432393,100.5484390259578) All Season Mansion, Pathum Wan Bangkok
952.8s 93 Done 83: (13.731817432432392,100.5261195259578) Altitude Define, Bang Rak Bangkok
958.7s 94 Done 84: (13.731818032432393,100.5260768259578) Altitude Samyan - Silom, Bang Rak Bangkok
965.6s 95 Done 85: (13.709952532432393,100.5139348259578) Altitude Symphony Charoenkrung, Bang Kho Laem Bangkok
972.0s 96 Done 86: (13.712921732432392,100.47487562595781) Altitude Unicorn Sathorn - Thapra, Thon Buri Bangkok
978.2s 97 Done 87: (13.723017932432393,100.5511658259578) Amanta Lumpini, Sathon Bangkok
984.4s 98 Done 88: (13.765293632432392,100.5673905259578) Amanta Ratchada, Din Daeng Bangkok
