project_id,project_name,address,ceiling_height,completed_on,no_building,no_floor,total_units,utility_fee,bicycle_parking,cctv,convenience_store,fingerprint_access_control,fitness,jacuzzi,keycard_access_control,kids_playground,library,lift,massage_room,park_bbq_areas,parking,restaurant,sauna,security,shuttle_service,steam_room,swimming_pool,wifi,lat,lon,gg_address,province,district
223,Baan Eua Ar Thorn Samut Prakan (Bang Bo),Bang Bo Samut Prakarn,- m.,,,5.0,,,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,13.556418032432392,100.7690593259578,"Bang Sao Thong, 邦騷通縣沙沒巴干 10540泰國",Samut Prakan,Bang Bo
224,Baan Eua Ar Thorn Suvarnabhumi 2 (Bangna),Bang Plee Samut Prakarn,- m.,,,5.0,,,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,13.804718971066452,100.2799296928716,"Maha Sawat, Phutthamonthon District, Nakhon Pathom 73170, Thailand",Samut Prakan,Bang Phli
225,Baan Hunsa Condominium,Cha-Am Petchburi,,,1.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.737688032432391,99.9651025259578,"PXQ8+32H, Cha-am, Cha-am District, Phetchaburi 76120泰國",Phetchaburi,Cha-am
226,Baan I-Talay,Muang Chon Buri Chonburi,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.920910932432392,100.7872326259578,"93 Nar Baan Pier Koh Larn Pattaya, Pattaya City, CB, Thailand",Chonburi,Mueang Chonburi
227,Baan Imm Aim Hua Hin,Hua Hin Prachaubkirikhan,,,1.0,8.0,172.0,,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,12.528797432432391,99.9680650259578,"1/83 Nong Kae-Takiap, Nong Kae, Hua Hin District, Prachuap Khiri Khan 77110, Thailand",Prachuap Khiri Khan,Hua Hin
228,Baan Karnkanok 3,Muang Chiang Mai Chiang Mai,,2013.0,1.0,5.0,67.0,,0,1,1,0,1,0,1,0,0,1,0,1,1,0,1,1,0,0,1,0,18.74722747106645,99.0340996928716,"หมู่บ้านกาญจน์กนก, 12 ถ. ซุปเปอร์ไฮเวย์ เชียงใหม่-ลำปาง Chai Sathan, Saraphi District, Chang Wat Chiang Mai 50140, Thailand",Chiang Mai,Mueang Chiang Mai
229,Baan Kasemsan 1,Pathum Wan Bangkok,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.748638632432392,100.5295734259578,"Kasem San 1 Alley, Wang Mai, Pathum Wan, Bangkok 10330, Thailand",Bangkok,Pathum Wan
230,Baan Kiang Fah,Hua Hin Prachaubkirikhan,,2015.0,1.0,26.0,616.0,,0,1,0,0,1,0,1,0,1,1,0,1,1,0,1,1,0,0,1,0,12.537240732432393,99.9588127259578,"Petchkasem Rd, Tambon Nong Kae, Hua Hin District, Prachuap Khiri Khan 77110, Thailand",Prachuap Khiri Khan,Hua Hin
231,Baan Klang Krung Siam - Pathumwan,Ratchathewi Bangkok,,2007.0,2.0,26.0,580.0,,0,1,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0,1,1,0,13.752033632432392,100.5328066259578,"468 Phetchaburi Rd, Thanon Phetchaburi, Ratchathewi, Bangkok 10400, Thailand",Bangkok,Ratchathewi
232,Baan Kluai Nam Thai,Khlong Toei Bangkok,,,1.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.713254432432391,100.5857908259578,"3797/1 Rama IV Rd, Phra Khanong, Khlong Toei, Bangkok 10110, Thailand",Bangkok,Khlong Toei
