no,project_name,gg_address,province,district,lat,lon
32,A Pool Bangna,"72 Bang Na-Trat 32 Alley, Bang Na Tai, Bang Na, Bangkok 10260, Thailand",Bangkok,Bang Na,13.66433853,100.6316697
33,A Space Asoke - Ratchada,"624 Thanon Asok - Din Daeng, Din Daeng, Bangkok 10400, Thailand",Bangkok,Din Daeng,13.75689343,100.5602191
34,A Space Hideaway Asoke - Ratchada,"624 Thanon Asok - Din Daeng, Din Daeng, Bangkok 10400, Thailand",Bangkok,Din Daeng,13.75689343,100.5602191
35,A Space ID Asoke - Ratchada,"624 Thanon Asok - Din Daeng, Din Daeng, Bangkok 10400, Thailand",Bangkok,Din Daeng,13.75689343,100.5602191
36,A Space Kaset - Nawamin,"112 Prasert-Manukitch Rd, Lat Phrao, Bangkok 10230, Thailand",Bangkok,Lat Phrao,13.83284963,100.6164663
37,A Space ME Bangna,"ทางคู่ขนาน ถนนบางนา-ตราด Bang Kaeo, Bang Phli District, Samut Prakan 10540, Thailand",Samut Prakan,Bang Phli,13.64008043,100.680689
38,A Space Me Rattanathibet,"VF7X+82Q, Tambon Bang Kraso, Mueang Nonthaburi District, Nonthaburi 11000, Thailand",Nonthaburi,Mueang Nonthaburi,13.86334733,100.4976082
39,A Space Me Sukhumvit 77,"2367 ซ. อ่อนนุช 37/1 แขวง อ่อนนุช Suan Luang, Bangkok 10250, Thailand",Bangkok,Suan Luang,13.71324143,100.6346895
40,A Space Mega 2,"JMRH+MCM, Bang Kaeo, Bang Phli District, Samut Prakan 10540, Thailand",Samut Prakan,Bang Phli,13.64170233,100.6785835
41,A Space Play Ratchada - Sutthisarn,"295 Sutthisan Winitchai Rd, Samsen Nok, Huai Khwang, Bangkok 10310, Thailand",Bangkok,Huai Khwang,13.78964523,100.5890624
42,A Space Sukhumvit 77,"2345 อาคาร Aเอสเปชคอนโด สุขุมวิท 77 ตึกเอ Suan Luang, Bangkok 10250, Thailand",Bangkok,Suan Luang,13.71359233,100.6330416
43,A space mega,"98/1337 Bang Kaeo, Bang Phli District, Samut Prakan 10540, Thailand",Samut Prakan,Bang Phli,13.64122363,100.6790563
44,A.D Resort,"225 Moo 6, Tumbol Khun Don Huay, Hua Hin / Cha-am, Thailand 76120 76120 Thailand",Phetchaburi,Cha-am,12.87149567,99.91621909
45,A.D Resort Cha am - Huahin,"ชายหาด 43/1 Phet Kasem Rd, Hua Hin, Hua Hin District, Prachuap Khiri Khan 77110泰國",Phetchaburi,Cha-am,12.61703144,99.95220117
46,AD Bangsaray Lake & Resort,"100/1020 Moo 2 Bangsaray Sattahip, 20250, Thailand",Chonburi,Sattahip,12.76373527,100.9025041
47,AD Hyatt,"507 Na Kluea 16 Alley, Pattaya City, Bang Lamung District, Chon Buri 20150, Thailand",Chonburi,Bang Lamung,12.96254627,100.8912961
48,AD Racha Residence,"261/4 M.2 T.Surasak A Si Racha District, Chon Buri 20110, Thailand",Chonburi,Bang Lamung,13.16116963,100.9315313
49,AD Wongamat,"นาเกลือ 16 Bang Lamung District, Chon Buri 20150, Thailand",Chonburi,Bang Lamung,12.91462203,100.8664451
50,ADM Platinum Bay,"Kamala, Kathu District, Phuket 83150泰國",Phuket,Kathu,7.964212432,98.28521563
51,ALBAR PENINSULA,"150 หมู่ 4 Na Chom Thian, Sattahip District, Chon Buri 20250, Thailand",Chonburi,Sattahip,12.81789253,100.9160353
52,AMF Condominium,"QHV2+FGV, Sutthisan Winitchai 3 Alley, Samsen Nai, Phaya Thai, Bangkok 10400, Thailand",Bangkok,Phaya Thai,13.79374333,100.55131
53,ANDROMEDA Khao Phra Tamnak,"539 moo 12 kasetsin 11 alley Pattaya NUNGPRUE, Pattaya City, Bang Lamung District, Chon Buri 20150, Thailand",Chonburi,Bang Lamung,12.91891253,100.8595845
54,APUS Condominium,"333 259 Soi Paniad Chang, Pattaya City, Bang Lamung District, Chon Buri 20150, Thailand",Chonburi,Bang Lamung,12.93557343,100.8964414
55,ARC condominium,"299 หมู่ 3 Vibhavadi Rangsit 62 Alley, Lane 2, Talat Bang Khen, Lak Si, Bangkok 10210, Thailand",Bangkok,Lak Si,13.87064573,100.5775627
56,ARISE Condo Ratchada 19,"327/1, Chatuchak, Bangkok 10900, Thailand",Bangkok,Din Daeng,13.80117657,100.5716511
57,AROM JOMTIEN - PATTAYA,"โครงการอารมณ์ จอมเทียน Jomtiensaineung Rd, หนองปรือ Bang Lamung District, Chon Buri 20150, Thailand",Chonburi,Bang Lamung,12.89157773,100.8736174
58,AROM WONGAMAT,"Na Kluea 16 Alley, Pattaya City, Bang Lamung District, Chon Buri 20150, Thailand",Chonburi,Bang Lamung,12.96512403,100.8842886
59,AROON,"351 Thanon Phran Nok, Ban Chang Lo, Bangkok Noi, Bangkok 10700, Thailand",Bangkok,Bangkok Noi,13.75555883,100.4809944
60,ASHER PRIVÉ SUTTHISAN,"Amnuai Wat Alley, Samsen Nok, Huai Khwang, Bangkok 10310, Thailand",Bangkok,Huai Khwang,13.79204473,100.5811327
61,ASHER Ratchada - Huai Khwang,"12 20 Mithuna Alley, Lane 5, Samsen Nok, Huai Khwang, Bangkok 10310, Thailand",Bangkok,Huai Khwang,13.78597153,100.5848242
62,ASPIRE Rattanathibet-Weston,"Rattanathibet Rd, Bang Krasaw, Mueang Nonthaburi District, Nonthaburi 11000, Thailand",Nonthaburi,Mueang Nonthaburi,13.86051583,100.5083269
63,Aashiana Sukhumvit 26,"59/29 Soi Sukhumvit 26, Khlong Tan, Khlong Toei, Bangkok 10110, Thailand",Bangkok,Khlong Toei,13.72505103,100.5720373
64,Abac Condotown,"13 Ramkhamhaeng 24 Alley, Lane 34, Hua Mak, Bang Kapi District, Bangkok 10240, Thailand",Bangkok,Saphan Sung,13.75179913,100.6286936
65,Abaconi Living Condo (ABAC Bangna Campus),"118, ตำบลบางบ่อ อำเภอบางบ่อ จังหวัดสมุทรปราการ, 10550 Thailand",Samut Prakan,Bang Bo,13.61574903,100.845682
66,Ables Ladprao 27,"Lat Phrao 27 Alley, Chan Kasem, Chatuchak, Bangkok 10900, Thailand",Bangkok,Chatuchak,13.80457263,100.5784722
67,Abstracts Phahonyothin Park,"1076 Phahonyothin Road, Chom Phon, Chatuchak, Bangkok 10900, Thailand",Bangkok,Chatuchak,13.81768343,100.56509
68,Abstracts Sukhumvit 66/1,"MJH4+WR9, Sukhumvit Road, Bang Na Nuea, Bang Na, Bangkok 10260, Thailand",Bangkok,Bang Na,13.67978543,100.6071202
69,Acadamia Grand Tower,"43 9 Sukhumvit Road, Khwaeng Khlong Tan Nuea, Watthana, Bangkok 10110, Thailand",Bangkok,Watthana,13.72944413,100.5729051
70,Acqua,"31/360 Bang Lamung District, 20150, Thailand",Chonburi,Bang Lamung,12.89325423,100.8760015
71,Adamas Phahonyotin,"QGHQ+QM9 แขวงพญาไท Phaya Thai, Bangkok 10400, Thailand",Bangkok,Phaya Thai,13.77941213,100.5392343
72,Addera Chaengwattana,"11120 Chaeng Wattana-Parkkred 23 Alley, Tambon Khlong Klua, Pak Kret District, Nonthaburi 11120, Thailand",Nonthaburi,Pak Kret,13.90491993,100.5315469
73,Aequa Sukhumvit 49,"19, 1 Sukhum Vit 49, Klogton-Nua Watthana, Bangkok 10110, Thailand",Bangkok,Watthana,13.72768073,100.575473
74,Aeras Pattaya,"258/1 หมู่ที่ 12 Bang Lamung District, Chon Buri 20150, Thailand",Chonburi,Bang Lamung,12.87114513,100.8896353
75,Aguston Sukhumvit 22,"140 Sukhumvit Alley 22, Khlong Tan, Khlong Toei, Bangkok 10110, Thailand",Bangkok,Khlong Toei,13.72506703,100.5647482
76,Airlink Residence,"52/1 Rom Klao Rd, Khlong Sam Prawet, Lat Krabang, Bangkok 10520, Thailand",Bangkok,Lat Krabang,13.73635743,100.7446364
77,Airport Home Condominium,"440-444 หมู่ที่ 10 Mae Hia, Mueang Chiang Mai District, Chiang Mai 50100, Thailand",Chiang Mai,Mueang Chiang Mai,18.75126833,98.95573113
78,Akesin Place,"90 Ngamwongwan Rd, Bang Khen, Mueang Nonthaburi District, Nonthaburi 11000, Thailand",Nonthaburi,Mueang Nonthaburi,13.85776393,100.5267902
79,Akesin Tower,"90 Ngamwongwan Rd, Bang Khen, Mueang Nonthaburi District, Nonthaburi 11000, Thailand",Nonthaburi,Mueang Nonthaburi,13.85776393,100.5267902
80,Aland Condo,"91 หมู่ 3 Bang Kruai - Sai Noi Rd, Sai Noi, Sai Noi District, Nonthaburi 11150, Thailand",Nonthaburi,Sai Noi,13.97442233,100.3358071
81,Alisha Court,"Sukhumvit 107 Rd 799 Bearing 33 Aly, Samrong Nuea, Mueang Samut Prakan District, Samut Prakan 10270, Thailand",Bangkok,Bang Na,13.65052133,100.6301549
82,Aliss Tiwanon,"Talat Kwan, Mueang Nonthaburi District, Nonthaburi 11000, Thailand",Nonthaburi,Mueang Nonthaburi,13.85504633,100.5193562
83,Aliss Wongwianyai,"385 Somdet Phra Chao Tak Sin Rd, Khlong Ton Sai, Khlong San, Bangkok 10600, Thailand",Bangkok,Khlong San,13.72327943,100.4927348
84,All Season Mansion,"Witthayu Rd, Lumphini, Pathum Wan, Bangkok 10330, Thailand",Bangkok,Pathum Wan,13.73952543,100.548439
85,Altitude Define,"199 ถนน สี่พระยา Si Phraya, Bang Rak, Bangkok 10500, Thailand",Bangkok,Bang Rak,13.73181743,100.5261195
86,Altitude Samyan - Silom,"195 ถนน สี่พระยา Si Phraya, Bang Rak, Bangkok 10500, Thailand",Bangkok,Bang Rak,13.73181803,100.5260768
87,Altitude Symphony Charoenkrung,"51 1 ซอย จันทน์ 44 Wat Phraya Krai, Bang Kho Laem, Bangkok 10120, Thailand",Bangkok,Bang Kho Laem,13.70995253,100.5139348
88,Altitude Unicorn Sathorn - Thapra,"789 Ratchaphruek Rd, Talat Phlu, Thon Buri, Bangkok 10600, Thailand",Bangkok,Thon Buri,13.71292173,100.4748756
89,Amanta Lumpini,"K1144 Rama IV Rd, Thung Maha Mek, Sathon, Bangkok 10120, Thailand",Bangkok,Sathon,13.72301793,100.5511658
90,Amanta Ratchada,"77 88 Ratchadaphisek Rd, Din Daeng, Bangkok 10407, Thailand",Bangkok,Din Daeng,13.76529363,100.5673905
91,Amaranta Residence,"Huai Khwang, Bangkok 10310, Thailand",Bangkok,Huai Khwang,13.77940733,100.575949
92,Amari Residence Huahin,"1/83 Nong Kae-Takiap, Nong Kae, Hua Hin District, Prachuap Khiri Khan 77110, Thailand",Prachuap Khiri Khan,Hua Hin,12.53121203,99.96818673
93,Amari Residences Pattaya,"382/14 Moo 2 Pratumnak Hill Bang Lamung District, Chon Buri 20150, Thailand",Chonburi,Bang Lamung,12.92328453,100.8635753
94,Amari Residences Phuket,"2 Meun-Ngern Road Pa Tong, Amphoe Kathu, Phuket 83150, Thailand",Phuket,Kathu,7.886665032,98.28569703
95,Amata Miracle Condo,"C26V+58W, Don Hua Lo, Chon Buri District, Chon Buri 20000, Thailand",Chonburi,Mueang Chonburi,13.41025657,101.0435883
96,Amazon Residence Pattaya,"VVQQ+79C, Pattaya City, Bang Lamung District, Chon Buri 20150, Thailand",Chonburi,Bang Lamung,12.88767693,100.88806
97,Amber by Eastern Star,"RGQ8+Q66 ถ. กรุงเทพ - นนทบุรี Tambon Bang Khen, Mueang Nonthaburi District, Nonthaburi 11000, Thailand",Nonthaburi,Mueang Nonthaburi,13.83939963,100.5155196
98,Anantara Baan Rajprasong,"155 Ratchadamri Rd, Lumphini, Pathum Wan, Bangkok 10330, Thailand",Bangkok,Pathum Wan,13.74093007,100.5401341
99,Ananya Beachfront Naklua,"688 Soi Naklua, 16 Pattaya-Naklua, Pattaya City, Bang Lamung District, Chon Buri 20150, Thailand",Chonburi,Bang Lamung,12.96571863,100.8850538
100,Ananya Beachfront Wong Amat,"688 Soi Naklua, 16 Pattaya-Naklua, Pattaya City, Bang Lamung District, Chon Buri 20150, Thailand",Chonburi,Bang Lamung,12.96571863,100.8850538
101,Angket Condominium,"VVRM+6W2, ถนนบุณย์กัญจนา 10, Muang Pattaya, Bang Lamung District, Chon Buri 20150, Thailand",Chonburi,Bang Lamung,12.89051303,100.8847623
102,Angket Pavillian,"114, Super, Hwy Chiang Mai-Lampang Frontage Rd, Nong Pa Khrang Sub-district, Mueng, Chiang Mai 50000, Thailand",Chiang Mai,Mueang Chiang Mai,18.79113623,99.03013553
103,Anil Sathorn 12,"122 N Sathon Rd, Silom, Bang Rak, Bangkok 10500, Thailand",Bangkok,Bang Rak,13.72107813,100.5259027
104,Anna Condo Bang Phlu,"88 8 หมู่ 8 Bang Kruai - Sai Noi Rd, Bang Len, Bang Yai District, Nonthaburi 11140, Thailand",Nonthaburi,Bang Yai,13.85463133,100.4386641
105,Anna Condo Ladprao,"QJXM+X3V, Khlong Chan, Bang Kapi District, Bangkok 10240, Thailand",Bangkok,Bang Kapi,13.79997633,100.6326705
106,Anusoawaree Condominium,"128 Phaya Thai Rd, Thung Phaya Thai, Ratchathewi, Bangkok 10400, Thailand",Bangkok,Phaya Thai,13.75673497,100.530996
107,Apple Sukhumvit - Bearing,"88 Baring Alley, Samrong Nuea, อำเภอเืมือง, Samut Prakan 10270, Thailand",Samut Prakan,Mueang Samut Prakan,13.65022573,100.6161341
108,Arcadia Beach Continental,"162/1468, Thap Phraya 7 Alley, Pattaya City, Bang Lamung District, Chon Buri 20150, Thailand",Chonburi,Bang Lamung,12.91399973,100.8739771
109,Arcadia Beach Resort,"162/255 หมู่ที่ 10 Bang Lamung District, Chon Buri 20150, Thailand",Chonburi,Bang Lamung,12.91311667,100.874365
110,Arcadia Center Suites,"Thappraya Rd, Pattaya City, Bang Lamung District, Chon Buri 20150, Thailand",Chonburi,Bang Lamung,12.91735263,100.8706043
111,Arcadia Millennium Tower,"Pattaya 3rd Rd, Pattaya City, Bang Lamung District, Chon Buri 20150, Thailand",Chonburi,Bang Lamung,12.92063343,100.8810867
112,Arcadia Tower,"66/2 Thong lor 9, Sukhumvit Road Soi 53, Klongton Nua, Wattana, Bangkok 10110, Thailand",Bangkok,Watthana,13.73060703,100.5796933
113,Aree Place Phahonyothin,"QGJV+78G, Soi Ari 2, แขวงพญาไท Phaya Thai, Bangkok 10400, Thailand",Bangkok,Phaya Thai,13.78067693,100.5433188
114,Aree Place Sukhumvit 26,"59/91, Khlong Tan, Khlong Toei, Bangkok 10110, Thailand",Bangkok,Khlong Toei,13.72444913,100.5708945
115,Arise Condo Mahidol,"Mahidol Rd, Pa Daet Sub-district, Mueang Chiang Mai District, Chiang Mai 50100, Thailand",Chiang Mai,Mueang Chiang Mai,18.76333493,98.98954123
116,Art @ Patong,"158 Sai 3 Road, Pa Tong, Amphoe Kathu, Phuket 83150, Thailand",Phuket,Kathu,7.885715271,98.29836589
117,Art @ Thonglor 25,"52/2,3,4,5 ซ.ทองหล่อ25 ถ.สุขุมวิท55 แขวงคลองตันเหนือ Watthana, Bangkok 10110, Thailand",Bangkok,Watthana,13.74010103,100.5809288
118,Art on the Hill,"WV78+78Q, Soi 5, Pattaya City, Bang Lamung District, Chon Buri 20150, Thailand",Chonburi,Bang Lamung,12.91321433,100.8658675
119,Artemis Sukhumvit 77,"418 On Nut Rd, Khwaeng Suan Luang, Suan Luang, Bangkok 10250, Thailand",Bangkok,Suan Luang,13.71159003,100.6046276
120,Artisan Ratchada,"99 Thiam Ruam Mit Rd, Huai Khwang, Bangkok 10310, Thailand",Bangkok,Huai Khwang,13.76914113,100.5827864
121,Arunothai Condo,"353/1 Pratumnak Soi 6, Nongprue, Banglamung, Chon Buri 20150, Thailand",Chonburi,Bang Lamung,12.91072603,100.8621673
122,Asa Ayuthaya - Rojana,"หมู่ที่ 2, 159, Sam Ruean, Bang Pa-in District, Phra Nakhon Si Ayutthaya 13160, Thailand",Phra Nakhon Si Ayutthaya,Phra Nakhon,14.30947203,100.6453569
123,Asa Garden,"46-48 ซอย สุขุมวิท 24 Sukhumvit Road, Khlong Tan, Khlong Toei, Bangkok 10110, Thailand",Bangkok,Khlong Toei,13.72705933,100.5678334
124,Asakan City Ramkhamhaeng 186,"Ramkhamhaeng Rd, มีนบุรี Min Buri, Bangkok 10510, Thailand",Bangkok,Min Buri,13.80342603,100.7238894
125,Asakan Place Ladprao 85,"617 Srinakarin Rd, Suan Luang, Bangkok 10250, Thailand",Bangkok,Wang Thonglang,13.73459397,100.6416038
126,Asakan Place Ramkhamhaeng - Wongwean,"245 25 ซอย รามคําแหง 107 Hua Mak, Bang Kapi District, Bangkok 10240, Thailand",Bangkok,Saphan Sung,13.76616053,100.6528913
127,Asakan Place Ramkhamhaeng 105/1,"245 25 ซอย รามคําแหง 107 Hua Mak, Bang Kapi District, Bangkok 10240, Thailand",Bangkok,Bang Kapi,13.76616053,100.6528913
128,Asakan Place Srinakarindra,"617 Srinakarin Rd, Suan Luang, Bangkok 10250, Thailand",Bangkok,Suan Luang,13.73459283,100.6416051
129,Ascott Sathorn,"7 S Sathon Rd, Yan Nawa, Sathon, Bangkok 10120, Thailand",Bangkok,Sathon,13.72057543,100.5282106
130,Asean Condominium 1,"ย์ 1468 Kanjanavanich Rd, ตำบล หาดใหญ่ Hat Yai District, Songkhla 90110, Thailand",Songkhla,Hat Yai,6.994091971,100.4857846
131,Asean city resort,"ย์ 1468 Kanjanavanich Rd, ตำบล หาดใหญ่ Hat Yai District, Songkhla 90110, Thailand",Songkhla,Hat Yai,6.994090832,100.4857859
132,Asher  Ratchada,"12 20 Mithuna Alley, Lane 5, Samsen Nok, Huai Khwang, Bangkok 10310, Thailand",Bangkok,Huai Khwang,13.78597153,100.5848242
133,Asher Sutthisan,"QHVP+JH4, Lat Phrao 48 Yeak 3-3 Alley, Samsen Nok, Huai Khwang, Bangkok 10310, Thailand",Bangkok,Huai Khwang,13.79402003,100.5864431
134,Ashton Asoke,"119 Soi Sukhumvit 21, Khlong Toei Nuea, Watthana, Bangkok 10110, Thailand",Bangkok,Watthana,13.73865453,100.5615072
135,Ashton Asoke - Rama 9,"469 Thanon Asok - Din Daeng, Din Daeng, Bangkok 10400, Thailand",Bangkok,Din Daeng,13.75601413,100.5638738
136,Ashton Chula - Silom,"Rama IV Rd, Si Phraya, Bang Rak, Bangkok 10500, Thailand",Bangkok,Bang Rak,13.73130153,100.5310151
137,Ashton Morph 38,"88 Sukhumvit 38 Alley, Phra Khanong, Khlong Toei, Bangkok 10110, Thailand",Bangkok,Khlong Toei,13.72097853,100.5791081
138,Ashton Residence 41,"Khlong Tan Nuea, Watthana, Bangkok 10110, Thailand",Bangkok,Watthana,13.73298843,100.5726914
139,Ashton Silom,"186 Si Lom, Suriya Wong, Bang Rak, Bangkok 10500, Thailand",Bangkok,Bang Rak,13.72630043,100.5268737
140,Asoke Place,"Asok Montri Rd, Khlong Toei Nuea, Watthana, Bangkok 10110, Thailand",Bangkok,Watthana,13.74165473,100.5621252
141,Asoke Tower,"215 Soi Sukhumvit 21, Khlong Toei Nuea, Watthana, Bangkok 10110, Thailand",Bangkok,Watthana,13.74548387,100.5624028
142,Aspen Lasalle,"เอสเพน คอนโด เลขที่ 1497 ซอย ลาซาล Bang Na Tai, Bang Na, Bangkok 10260, Thailand",Bangkok,Bang Na,13.65535367,100.6462949
143,Aspire  Pinklao - Arunammarin,"10 19 Arun Amarin Rd, Arun Amarin, Bangkok Noi, Bangkok 10700, Thailand",Bangkok,Bangkok Noi,13.76413233,100.4841152
144,Aspire Asoke - Ratchada,"889 Ratchadaphisek 3 Alley, Din Daeng, Bangkok 10400, Thailand",Bangkok,Din Daeng,13.76424693,100.5608957
145,Aspire Erawan,"66 Sukhumvit Road, Tambon Pak Nam, Mueang Samut Prakan District, Samut Prakan 10270, Thailand",Samut Prakan,Mueang Samut Prakan,13.62147853,100.5897612
146,Aspire Erawan Prime,"66 Sukhumvit Road, Tambon Pak Nam, Mueang Samut Prakan District, Samut Prakan 10270, Thailand",Samut Prakan,Mueang Samut Prakan,13.62147853,100.5897612
147,Aspire Ladprao 113,"135 Lat Phrao 113 Alley, Khlong Chan, Bang Kapi District, Bangkok 10240, Thailand",Bangkok,Bang Kapi,13.76974357,100.6389176
148,Aspire Ngamwongwan,"222 Ngamwongwan Rd, Thung Song Hong, Lak Si, Bangkok 10210, Thailand",Bangkok,Lak Si,13.85625823,100.5478988
149,Aspire Onnut Station,"1574 Sukhumvit Road, Phra Khanong, Khlong Toei, Bangkok 10110, Thailand",Bangkok,Khlong Toei,13.70760873,100.5997188
150,Aspire Rama 4,"4288 Rama IV Rd, Phra Khanong, Khlong Toei, Bangkok 10110, Thailand",Bangkok,Khlong Toei,13.71199673,100.5844484
151,Aspire Rama 9,"ซอยพระราม 9 แยก 2 ถนนพระราม 9 Huai Khwang, Bangkok 10310, Thailand",Bangkok,Huai Khwang,13.75469103,100.5668759
152,Aspire Ratchada - Wongsawang,"1411 ถ. กรุงเทพ - นนทบุรี Wong Sawang, Bang Sue, Bangkok 10800, Thailand",Bangkok,Bang Sue,13.83070893,100.525282
153,Aspire Ratchayothin,"42 Phahonyothin Road, Lat Yao, Chatuchak, Bangkok 10900, Thailand",Bangkok,Chatuchak,13.83129453,100.5688108
154,Aspire Rattanathibet,"Rattanathibet Rd, Bang Krasaw, Mueang Nonthaburi District, Nonthaburi 11000, Thailand",Nonthaburi,Mueang Nonthaburi,13.86051697,100.5083256
155,Aspire Rattanathibet 2,"185 Rattanathibet Rd, Tambon Bang Kraso, Mueang Nonthaburi District, Nonthaburi 11000, Thailand",Nonthaburi,Mueang Nonthaburi,13.85955363,100.5080815
156,Aspire Sathorn - Ratchapruek,"Ratchaphruek Rd, Pak Khlong Phasi Charoen, Phasi Charoen, Bangkok 10160, Thailand",Bangkok,Phasi Charoen,13.71639867,100.4584835
157,Aspire Sathorn - Taksin (Brick Zone),"เลข ที่ 69 โครงการ แอ สปาย สาทร ตากสิน บ ริ ค โซน, Ratchaphruek Rd, Bang Kho, Chom Thong, Bangkok 10150, Thailand",Bangkok,Thon Buri,13.71201033,100.4634017
158,Aspire Sathorn - Taksin (Copper Zone),"65 Kanlapaphruek Rd, Bang Kho, Chom Thong, Bangkok 10150, Thailand",Bangkok,Chom Thong,13.71262983,100.4643492
