place_type,place_name,link_name,num_rent,num_sale,num_avg,flag
School,Srinakharinwirot University Prasarnmit Demonstration School,srinakharinwirot-university-prasarnmit-demonstration-school,37958,10484,24221.0,1
University/College,Bangkok University,bangkok-university--3,37137,9908,23522.5,1
University/College,Srinakharinwirot University Prasanmit Campus,srinakharinwirot-university-prasanmit-campus,36399,10488,23443.5,1
School,Sai Namphueng School,sai-namphueng-school,35391,9684,22537.5,1
International School,Trinity International School,trinity-international-school,31492,8444,19968.0,1
Bangkok,Watthana,watthana,26709,7168,16938.5,1
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,24473,6868,15670.5,1
School,Wat Pathum Wanaram School,wat-pathum-wanaram-school,19402,5954,12678.0,1
Bangkok,Khlong Toei,khlong-toei,17589,4732,11160.5,1
International School,Ekamai International School,ekamai-international-school,15973,4115,10044.0,1
School,St. Joseph Convent School,st-joseph-convent-school,14610,5386,9998.0,1
University/College,Chulalongkorn University,chulalongkorn-university,13134,4511,8822.5,1
University/College,Mahidol University Phaya Thai,mahidol-university-phaya-thai,13379,4259,8819.0,1
BTS Sukhumvit Line,BTS Phra Khanong,bts-phra-khanong,13666,3175,8420.5,1
BTS Sukhumvit Line,BTS Thong Lo (Thong Lor),bts-thong-lo-thong-lor,13217,3544,8380.5,1
School,Silom Commercial College,silom-commercial-college,11660,4444,8052.0,1
School,Thawsi School,thawsi-school,12794,3263,8028.5,1
School,Santirat Institute Of Bussiness Adminstration,santirat-institute-of-bussiness-adminstration,12452,3463,7957.5,2
School,St. Theresa School,st-theresa-school,11475,4406,7940.5,2
School,Bangkok Christian College,bangkok-christian-college,11473,4369,7921.0,2
School,Assumption Convent Silom School,assumption-convent-silom-school,11455,4348,7901.5,2
School,Satri Woranat Bang Khen School,satri-woranat-bang-khen-school,12367,3397,7882.0,2
School,Thai-Japanese Association School,thai-japanese-association-school,12213,3501,7857.0,2
Bangkok,Huai Khwang,huai-khwang,12199,3396,7797.5,2
MRT Blue line,MRT Phetchaburi,mrt-phetchaburi,11988,3247,7617.5,2
School,Wattana Wittaya Academy,wattana-wittaya-academy,11704,3314,7509.0,2
University/College,Siam University,siam-university,11532,3360,7446.0,2
School,Assumption Commercial College (A.C.C.),assumption-commercial-college-a-c-c,10624,4176,7400.0,2
School,Samsen Wittayalai School,samsen-wittayalai-school,10960,3441,7200.5,2
University/College,Thonburi Vocational College,thonburi-vocational-college,10834,3090,6962.0,2
BTS Sukhumvit Line,BTS Phrom Phong,bts-phrom-phong,10284,3241,6762.5,2
University/College,Borom Ratchachonnani Bangkok Nursing College,borom-ratchachonnani-bangkok-nursing-college,9870,2993,6431.5,2
University/College,Command And General Staff College,command-and-general-staff-college,9735,3066,6400.5,2
International School,Berkeley International School,berkeley-international-school,10005,2317,6161.0,2
University/College,Suan Dusit Rajabhat University,suan-dusit-rajabhat-university,9568,2749,6158.5,2
University/College,Suan Sunandha University,suan-sunandha-university,9511,2772,6141.5,2
University/College,Boromratchachonnani Nursing College,boromratchachonnani-nursing-college,9820,2392,6106.0,2
MRT Blue line,MRT Sukhumvit,mrt-sukhumvit,8992,2971,5981.5,2
University/College,Vajiravudh College,vajiravudh-college,9113,2755,5934.0,2
BTS Sukhumvit Line,BTS On Nut,bts-on-nut,9469,2294,5881.5,2
University/College,Rajamangala University of Technology Krungthep South Bangkok Campus,rajamangala-university-of-technology-krungthep-south-bangkok-campus,8451,3301,5876.0,2
Bangkok,Siam Discovery,siam-discovery,8889,2788,5838.5,2
Bangkok,Chatuchak,chatuchak--3,9344,2261,5802.5,2
School,Wat Patumkongka School,wat-patumkongka-school,8406,3125,5765.5,2
Bangkok,Ratchathewi,ratchathewi,9168,2282,5725.0,2
University/College,Samitivej Thonburi Hospital,samitivej-thonburi-hospital,8674,2670,5672.0,2
University/College,Thonburi Commercial College,thonburi-commercial-college,8734,2491,5612.5,2
BTS Sukhumvit Line,BTS Ekkamai,bts-ekkamai,8955,2154,5554.5,2
BTS Sukhumvit Line,BTS Asok,bts-asok,8202,2709,5455.5,2
University/College,Rajamangala University of Technology Krungthep,rajamangala-university-of-technology-krungthep,7633,3136,5384.5,2
School,Wijit Withaya School,wijit-withaya-school,7990,2261,5125.5,2
School,Nonsi Witthaya School,nonsi-witthaya-school,7259,2889,5074.0,2
MRT Blue line,MRT Phra Ram 9,mrt-phra-ram-9,7996,1949,4972.5,3
University/College,King Mongkut s University of Technology North Bangkok,king-mongkut-s-university-of-technology-north-bangkok,7729,2133,4931.0,3
University/College,Chandrakasem Rajabhat University,chandrakasem-rajabhat-university,7794,2033,4913.5,3
School,Chan Hun Bumpen School,chan-hun-bumpen-school,7135,2380,4757.5,3
Nonthaburi,Thailand Nursing and Midwifery Council,thailand-nursing-and-midwifery-council,7308,1962,4635.0,3
Nonthaburi,The Food and Drug Administration (FDA),the-food-and-drug-administration-fda,7244,1934,4589.0,3
