unit_type_id,project_id,project_name,unit_type
64,31,A Plus Inspire Rattanathibet 11,Studio  (20.0 - 21.0 sq.m.)
65,31,A Plus Inspire Rattanathibet 11,1 Bedroom (25.0 - 28.0 sq.m.)
66,32,A Pool Bangna,2 Bedroom (51.50 sq.m.)
67,32,A Pool Bangna,1 Bedroom (24.50 - 25.75 sq.m.)
68,33,A Space Asoke - Ratchada,1 Bedroom (34.95 sq.m.)
69,33,A Space Asoke - Ratchada,Studio (25.0 sq.m.)
70,34,A Space Hideaway Asoke - Ratchada,Studio (25.0 sq.m.)
71,34,A Space Hideaway Asoke - Ratchada,1 Bedroom  (34.95 sq.m.)
72,34,A Space Hideaway Asoke - Ratchada,2 Bedroom (52.50 sq.m.)
73,35,A Space ID Asoke - Ratchada,2 Bedroom (66.86 - 72.10 sq.m.)
74,35,A Space ID Asoke - Ratchada,1 Bedroom (33.0 sq.m.)
75,36,A Space Kaset - Nawamin,Studio (31.40 sq.m.)
76,37,A Space ME Bangna,1 Bedroom (25.0 - 32.10 sq.m.)
77,38,A Space Me Rattanathibet,1 Bedroom (25.0 - 32.10 sq.m.)
78,39,A Space Me Sukhumvit 77,1 Bedroom (28.13 sq.m.)
79,40,A Space Mega 2,1 Bedroom (28.52 - 31.06 sq.m.)
80,40,A Space Mega 2,2 Bedrooms (56.32 - 62.42 sq.m.)
81,41,A Space Play Ratchada - Sutthisarn,Studio (25.0 sq.m.)
82,41,A Space Play Ratchada - Sutthisarn,1 Bedroom  (32.75 sq.m.)
83,41,A Space Play Ratchada - Sutthisarn,2 Bedroom (70.0 - 75.0 sq.m.)
84,42,A Space Sukhumvit 77,Studio (31.40 sq.m.)
85,42,A Space Sukhumvit 77,1 Bedroom (34.95 sq.m.)
86,43,A space mega,2 Bedrooms (56.73 sq.m.)
87,43,A space mega,1 Bedroom (28.52 - 34.97 sq.m.)
88,44,A.D Resort,No information
89,45,A.D Resort Cha am - Huahin,Type E (105.60 sq.m.)
90,45,A.D Resort Cha am - Huahin,Type D (69.40 sq.m.)
91,45,A.D Resort Cha am - Huahin,Type C (56.10 sq.m.)
92,45,A.D Resort Cha am - Huahin,Type B (45.0 sq.m.)
93,45,A.D Resort Cha am - Huahin,Type A (25.50 sq.m.)
94,46,AD Bangsaray Lake & Resort,No information
95,47,AD Hyatt,No information
96,48,AD Racha Residence,No information
97,49,AD Wongamat,2 bedroom (54.32 - 72.00 sq.m.)
98,49,AD Wongamat,studio (25.50 sq.m.)
99,49,AD Wongamat,1 bedroom (25.50 sq.m.)
100,50,ADM Platinum Bay,No information
101,51,ALBAR PENINSULA,1 Bedroom (33.0 - 39.0 sq.m.)
102,51,ALBAR PENINSULA,2 Bedrooms (43.0 - 65.0 sq.m.)
103,51,ALBAR PENINSULA,Studio (23.0 - 29.0 sq.m.)
104,52,AMF Condominium,No information
105,53,ANDROMEDA Khao Phra Tamnak,2 Bedrooms (60.0 - 75.0 sq.m.)
106,53,ANDROMEDA Khao Phra Tamnak,1 Bedroom (28.0 - 54.0 sq.m.)
107,54,APUS Condominium,No information
108,55,ARC condominium,No information
109,56,ARISE Condo Ratchada 19,1 Bedroom (22.70 - 32.60 sq.m.)
110,56,ARISE Condo Ratchada 19,1 Bedroom Plus (36.80 sq.m.)
111,56,ARISE Condo Ratchada 19,2 Bedrooms (49.51 sq.m.)
112,57,AROM JOMTIEN - PATTAYA,No information
113,58,AROM WONGAMAT,No information
114,59,AROON,1 Bedroom (25.07 - 49.30 sq.m.)
115,59,AROON,1 Bedroom Plus (47.11 - 49.06 sq.m.)
116,60,ASHER PRIVÉ SUTTHISAN,1 Bedroom (26.0 - 28.0 sq.m.)
117,60,ASHER PRIVÉ SUTTHISAN,1 Bedroom Plus (39.0 - 40.0 sq.m.)
118,61,ASHER Ratchada - Huai Khwang,1 Bedroom (25.0 - 33.0 sq.m.)
119,62,ASPIRE Rattanathibet-Weston,1 Bedroom TYPE B (30.50 - 0.0 sq.m.)
120,62,ASPIRE Rattanathibet-Weston,1 Bedroom TYPE A (30.50 - 0.0 sq.m.)
121,62,ASPIRE Rattanathibet-Weston,1 Bedroom TYPE C (45.0 - 0.0 sq.m.)
122,63,Aashiana Sukhumvit 26,No information
123,64,Abac Condotown,No information
124,65,Abaconi Living Condo (ABAC Bangna Campus),No information
125,66,Ables Ladprao 27,No information
126,67,Abstracts Phahonyothin Park,2 Bedrooms (58.10 - 58.25 sq.m.)
127,67,Abstracts Phahonyothin Park,1 Bedroom (37.35 - 66.0 sq.m.)
128,67,Abstracts Phahonyothin Park,Studio (25.10 sq.m.)
129,68,Abstracts Sukhumvit 66/1,1 Bedroom (36.25 - 46.12 sq.m.)
130,68,Abstracts Sukhumvit 66/1,2 Bedroom (49.39 - 61.36 sq.m.)
131,69,Acadamia Grand Tower,No information
132,70,Acqua,No information
133,71,Adamas Phahonyotin,No information
134,72,Addera Chaengwattana,2 Bedrooms (52.95 - 60.60 sq.m.)
135,72,Addera Chaengwattana,1 Bedroom (32.95 - 43.55 sq.m.)
136,72,Addera Chaengwattana,Studio (25.90 - 26.65 sq.m.)
137,73,Aequa Sukhumvit 49,No information
138,74,Aeras Pattaya,2 Bedroom (71.50 - 219.50 sq.m.)
139,74,Aeras Pattaya,3 Bedroom (133.0 sq.m.)
140,74,Aeras Pattaya,Duplex  (N/A sq.m.)
141,74,Aeras Pattaya,1 Bedroom (35.0 - 49.50 sq.m.)
142,74,Aeras Pattaya,Penthouse  (N/A sq.m.)
143,75,Aguston Sukhumvit 22,Penthouse (140.0 - 280.0 sq.m.)
144,75,Aguston Sukhumvit 22,3 Bedrooms (100.0 - 155.0 sq.m.)
145,75,Aguston Sukhumvit 22,1 Bedroom (50.0 - 58.0 sq.m.)
146,75,Aguston Sukhumvit 22,2 Bedrooms (80.0 - 96.0 sq.m.)
147,76,Airlink Residence,1 Bedroom  (30.99 - 35.28 sq.m.)
148,76,Airlink Residence,Studio (28.13 - 29.0 sq.m.)
149,76,Airlink Residence,2 Bedroom (40.0 - 55.25 sq.m.)
150,77,Airport Home Condominium,No information
151,78,Akesin Place,No information
152,79,Akesin Tower,1 Bedroom  (60.50 sq.m.)
153,79,Akesin Tower,Studio (30.50 sq.m.)
154,80,Aland Condo,No information
155,81,Alisha Court,No information
156,82,Aliss Tiwanon,No information
157,83,Aliss Wongwianyai,No information
158,84,All Season Mansion,No information
159,85,Altitude Define,1 Bedroom (28.40 - 33.50 sq.m.)
160,85,Altitude Define,2 Bedrooms (40.0 - 48.30 sq.m.)
161,86,Altitude Samyan - Silom,2 Bedroom (41.38 - 49.50 sq.m.)
162,86,Altitude Samyan - Silom,1 Bedroom (29.30 - 37.0 sq.m.)
163,87,Altitude Symphony Charoenkrung,LOFT (42.17 - 125.56 sq.m.)
164,87,Altitude Symphony Charoenkrung,1 Bedroom (30.10 - 39.35 sq.m.)
165,87,Altitude Symphony Charoenkrung,2 Bedrooms (61.90 - 73.66 sq.m.)
166,87,Altitude Symphony Charoenkrung,Duplex (95.62 sq.m.)
167,87,Altitude Symphony Charoenkrung,Penthouse (104.24 - 147.58 sq.m.)
168,88,Altitude Unicorn Sathorn - Thapra,1 Bedroom Plus (36.98 sq.m.)
169,88,Altitude Unicorn Sathorn - Thapra,LOFT (50.78 sq.m.)
170,88,Altitude Unicorn Sathorn - Thapra,1 Bedroom (24.07 sq.m.)
171,89,Amanta Lumpini,3 Bedroom (137.0 - 197.0 sq.m.)
172,89,Amanta Lumpini,2 Bedroom (77.0 - 127.0 sq.m.)
173,89,Amanta Lumpini,1 Bedroom (43.0 - 69.0 sq.m.)
174,90,Amanta Ratchada,No information
175,91,Amaranta Residence,1 Bedroom (29.99 - 41.35 sq.m.)
176,91,Amaranta Residence,2 Bedrooms (54.47 - 76.66 sq.m.)
177,92,Amari Residence Huahin,2 Bedroom (82.81 - 97.83 sq.m.)
178,92,Amari Residence Huahin,3 Bedroom (154.49 sq.m.)
179,92,Amari Residence Huahin,1 Bedroom (41.16 - 50.67 sq.m.)
180,93,Amari Residences Pattaya,No information
181,94,Amari Residences Phuket,2 Bedrooms (92.0 - 102.0 sq.m.)
182,94,Amari Residences Phuket,1 Bedroom (44.0 - 52.0 sq.m.)
183,95,Amata Miracle Condo,No information
184,96,Amazon Residence Pattaya,2 Bedroom (N/A sq.m.)
185,96,Amazon Residence Pattaya,1 Bedroom  (35.0 - 41.0 sq.m.)
186,96,Amazon Residence Pattaya,Studio (35.0 sq.m.)
187,97,Amber by Eastern Star,2 Bedrooms Duplex (66.70 - 71.0 sq.m.)
188,97,Amber by Eastern Star,1 Bedroom (25.90 - 29.50 sq.m.)
189,97,Amber by Eastern Star,1 Bedrooms Duplex (25.90 - 33.90 sq.m.)
190,97,Amber by Eastern Star,1 Bedrooms Plus Duplex (43.40 - 43.60 sq.m.)
191,97,Amber by Eastern Star,2 Bedroom (51.40 - 58.40 sq.m.)
192,98,Anantara Baan Rajprasong,2 Bedrooms (N/A sq.m.)
193,98,Anantara Baan Rajprasong,1 Bedroom (N/A sq.m.)
194,99,Ananya Beachfront Naklua,No information
195,100,Ananya Beachfront Wong Amat,No information
196,101,Angket Condominium,No information
197,102,Angket Pavillian,No information
198,103,Anil Sathorn 12,3 Bedrooms (109.50 sq.m.)
199,103,Anil Sathorn 12,Duplex (104.0 sq.m.)
200,103,Anil Sathorn 12,2 Bedrooms (62.0 - 114.50 sq.m.)
201,103,Anil Sathorn 12,1 Bedroom (45.0 - 46.0 sq.m.)
202,104,Anna Condo Bang Phlu,1 Bedroom (30.0 - 33.0 sq.m.)
203,105,Anna Condo Ladprao,No information
204,106,Anusoawaree Condominium,No information
205,107,Apple Sukhumvit - Bearing,1 Bedroom (33.0 - 55.0 sq.m.)
206,107,Apple Sukhumvit - Bearing,2 Bedrooms (52.0 - 55.0 sq.m.)
207,108,Arcadia Beach Continental,Type  1B-A (26.0 sq.m.)
208,108,Arcadia Beach Continental,Type 2B-D (57.50 sq.m.)
209,108,Arcadia Beach Continental,Type 2B-E (63.50 sq.m.)
210,108,Arcadia Beach Continental,Type 1B-D (36.0 sq.m.)
211,108,Arcadia Beach Continental,Type 1B-C (35.50 sq.m.)
212,108,Arcadia Beach Continental,Type 1B-B (31.0 sq.m.)
213,108,Arcadia Beach Continental,Type 2B-A (52.0 sq.m.)
214,109,Arcadia Beach Resort,Type B (49.0 sq.m.)
215,109,Arcadia Beach Resort,Type D (50.0 sq.m.)
216,109,Arcadia Beach Resort,Type A (25.0 sq.m.)
217,110,Arcadia Center Suites,Type 1B-B (28.0 sq.m.)
218,110,Arcadia Center Suites,Type 1B-A (27.0 sq.m.)
219,110,Arcadia Center Suites,Type 2B (67.50 sq.m.)
220,111,Arcadia Millennium Tower,No information
221,112,Arcadia Tower,No information
222,113,Aree Place Phahonyothin,No information
223,114,Aree Place Sukhumvit 26,No information
224,115,Arise Condo Mahidol,2 Bedrooms (44.40 - 65.80 sq.m.)
225,115,Arise Condo Mahidol,1 Bedroom (31.80 - 44.80 sq.m.)
226,115,Arise Condo Mahidol,Studio (26.90 - 27.30 sq.m.)
227,116,Art @ Patong,No information
228,117,Art @ Thonglor 25,1 Bedroom (36.50 sq.m.)
229,117,Art @ Thonglor 25,2 Bedroom (71.50 sq.m.)
230,118,Art on the Hill,No information
231,119,Artemis Sukhumvit 77,1 Bedroom (26.58 - 30.62 sq.m.)
232,119,Artemis Sukhumvit 77,2 Bedroom (53.97 - 45.07 sq.m.)
233,120,Artisan Ratchada,2 Bedrooms (75.0 - 77.0 sq.m.)
234,120,Artisan Ratchada,1 Bedroom (28.0 - 44.0 sq.m.)
235,121,Arunothai Condo,No information
236,122,Asa Ayuthaya - Rojana,1 Bedroom (23.32 - 36.17 sq.m.)
237,122,Asa Ayuthaya - Rojana,2 Bedroom (47.30 - 52.0 sq.m.)
238,122,Asa Ayuthaya - Rojana,Duo Type (31.43 - 32.52 sq.m.)
239,123,Asa Garden,No information
240,124,Asakan City Ramkhamhaeng 186,Deluxe 2 Bedroom (36.20 sq.m.)
241,124,Asakan City Ramkhamhaeng 186,Suite 1 Bedroom (29.50 - 32.0 sq.m.)
242,124,Asakan City Ramkhamhaeng 186,Deluxe 1 Bedroom (23.80 - 26.0 sq.m.)
243,124,Asakan City Ramkhamhaeng 186,Suite 2 Bedroom (37.80 - 40.60 sq.m.)
244,124,Asakan City Ramkhamhaeng 186,Exclusive 2 Bed 1 Bath (47.50 sq.m.)
245,124,Asakan City Ramkhamhaeng 186,Exclusive 2 Bed 2 Bath (55.30 - 58.50 sq.m.)
246,125,Asakan Place Ladprao 85,No information
247,126,Asakan Place Ramkhamhaeng - Wongwean,No information
248,127,Asakan Place Ramkhamhaeng 105/1,No information
249,128,Asakan Place Srinakarindra,No information
250,129,Ascott Sathorn,No information
251,130,Asean Condominium 1,No information
252,131,Asean city resort,No information
253,132,Asher  Ratchada,1 Bedroom (27.0 sq.m.)
254,133,Asher Sutthisan,1 Bedroom (21.0 - 28.0 sq.m.)
255,134,Ashton Asoke,1 Bedroom (30.0 - 34.0 sq.m.)
256,134,Ashton Asoke,2 Bedrooms (46.0 - 64.0 sq.m.)
257,135,Ashton Asoke - Rama 9,1 Bedroom (32.50 - 46.50 sq.m.)
258,135,Ashton Asoke - Rama 9,2 Bedrooms (61.0 - 68.50 sq.m.)
259,136,Ashton Chula - Silom,2 Bedroom (55.0 - 65.0 sq.m.)
260,136,Ashton Chula - Silom,1 Bedroom (24.50 - 34.50 sq.m.)
261,137,Ashton Morph 38,1 Bedroom (52.0 sq.m.)
262,137,Ashton Morph 38,Duplex (93.0 sq.m.)
263,137,Ashton Morph 38,Penthouse (120.06 sq.m.)
264,137,Ashton Morph 38,2 Bedroom (52.0 sq.m.)
265,138,Ashton Residence 41,Duplex (133.50 sq.m.)
266,138,Ashton Residence 41,3 Bedroom (130.50 - 215.50 sq.m.)
267,138,Ashton Residence 41,2 Bedroom (67.0 - 124.50 sq.m.)
268,139,Ashton Silom,1 Bedroom (31.0 - 49.50 sq.m.)
269,139,Ashton Silom,2 Bedroom (71.50 - 86.50 sq.m.)
270,140,Asoke Place,1 Bedroom (61.0 sq.m.)
271,140,Asoke Place,2 Bedroom (133.0 sq.m.)
272,141,Asoke Tower,No information
273,142,Aspen Lasalle,Type C (34.30 - 35.0 sq.m.)
274,142,Aspen Lasalle,Type B (26.20 - 27.10 sq.m.)
275,142,Aspen Lasalle,Type A (23.80 - 24.30 sq.m.)
276,143,Aspire  Pinklao - Arunammarin,Studio (26.0 - 0.0 sq.m.)
277,143,Aspire  Pinklao - Arunammarin,1 Bedroom Plus (38.50 - 0.0 sq.m.)
278,143,Aspire  Pinklao - Arunammarin,1 Bedroom (31.0 - 34.50 sq.m.)
279,143,Aspire  Pinklao - Arunammarin,2 Bedroom (51.0 - 0.0 sq.m.)
280,144,Aspire Asoke - Ratchada,Studio (25.0 - 0.0 sq.m.)
281,144,Aspire Asoke - Ratchada,2 Bedrooms (49.50 - 51.0 sq.m.)
282,144,Aspire Asoke - Ratchada,1 Bedroom Plus (35.0 - 0.0 sq.m.)
283,144,Aspire Asoke - Ratchada,1 Bedroom (30.0 - 35.0 sq.m.)
284,145,Aspire Erawan,1 Bedroom (29.50 - 30.0 sq.m.)
285,145,Aspire Erawan,1 Bedroom Plus A (35.0 - 0.0 sq.m.)
286,145,Aspire Erawan,1 Bedroom Plus B (35.0 - 0.0 sq.m.)
287,145,Aspire Erawan,2 Bedroom (47.0 - 0.0 sq.m.)
288,146,Aspire Erawan Prime,Studio (27.0 - 0.0 sq.m.)
289,146,Aspire Erawan Prime,1 Bedroom (27.0 - 38.0 sq.m.)
290,146,Aspire Erawan Prime,2 Bedrooms (46.0 - 48.50 sq.m.)
291,147,Aspire Ladprao 113,1 Bedroom  (28.50 sq.m.)
292,147,Aspire Ladprao 113,Studio (24.50 sq.m.)
293,148,Aspire Ngamwongwan,1 Bedroom TYPE B (28.0 - 0.0 sq.m.)
294,148,Aspire Ngamwongwan,1 Bedroom TYPE A (28.0 - 0.0 sq.m.)
295,149,Aspire Onnut Station,1 Bedroom Plus (35.0 sq.m.)
296,149,Aspire Onnut Station,1 Bedroom (27.0 - 32.0 sq.m.)
297,149,Aspire Onnut Station,2 Bedroom (53.0 sq.m.)
298,150,Aspire Rama 4,1 Bedroom TYPE B (28.0 - 0.0 sq.m.)
299,150,Aspire Rama 4,1 Bedroom TYPE C (36.50 - 0.0 sq.m.)
300,150,Aspire Rama 4,1 Bedroom TYPE D (39.0 - 0.0 sq.m.)
301,150,Aspire Rama 4,1 Bedroom TYPE A (28.0 - 0.0 sq.m.)
302,150,Aspire Rama 4,2 Bedroom TYPE E (46.50 - 0.0 sq.m.)
303,151,Aspire Rama 9,2 Bedroom (49.20 - 66.20 sq.m.)
304,151,Aspire Rama 9,1 Bedroom (32.20 - 39.20 sq.m.)
305,152,Aspire Ratchada - Wongsawang,2 Bedroom (45.0 - 0.0 sq.m.)
306,152,Aspire Ratchada - Wongsawang,1 Bedroom  (26.0 - 0.0 sq.m.)
307,152,Aspire Ratchada - Wongsawang,Studio (22.50 - 0.0 sq.m.)
308,153,Aspire Ratchayothin,No information
309,154,Aspire Rattanathibet,2 Bedroom (45.70 - 48.70 sq.m.)
310,154,Aspire Rattanathibet,1 Bedroom (20.0 - 30.20 sq.m.)
311,155,Aspire Rattanathibet 2,1 Bedroom TYPE A (24.50 sq.m.)
312,155,Aspire Rattanathibet 2,2 Bedroom TYPE C (45.50 sq.m.)
313,155,Aspire Rattanathibet 2,1 Bedroom TYPE B2 (30.0 sq.m.)
314,155,Aspire Rattanathibet 2,1 Bedroom TYPE B1 (30.0 sq.m.)
315,156,Aspire Sathorn - Ratchapruek,2 Bedroom (46.50 - 48.0 sq.m.)
316,156,Aspire Sathorn - Ratchapruek,1 Bedroom Plus (35.0 sq.m.)
317,156,Aspire Sathorn - Ratchapruek,1 Bedroom (31.50 - 32.0 sq.m.)
318,156,Aspire Sathorn - Ratchapruek,Studio  (26.0 sq.m.)
319,157,Aspire Sathorn - Taksin (Brick Zone),Studio (28.0 sq.m.)
320,158,Aspire Sathorn - Taksin (Copper Zone),2 Bedroom (46.0 sq.m.)
321,158,Aspire Sathorn - Taksin (Copper Zone),1 Bedroom  (26.0 sq.m.)
322,158,Aspire Sathorn - Taksin (Copper Zone),Studio (22.50 sq.m.)
323,159,Aspire Sathorn - Taksin (Timber Zone),2 Bedroom (45.0 sq.m.)
324,159,Aspire Sathorn - Taksin (Timber Zone),1 Bedroom (26.0 sq.m.)
325,160,Aspire Sathorn - Thapra,2 Bedroom TYPE D (38.0 sq.m.)
326,160,Aspire Sathorn - Thapra,Studio TYPE A (23.50 sq.m.)
327,160,Aspire Sathorn - Thapra,1 Bedroom TYPE B (26.50 sq.m.)
328,160,Aspire Sathorn - Thapra,1 Bedroom TYPE C (30.50 sq.m.)
329,160,Aspire Sathorn - Thapra,2 Bedroom TYPE E (46.0 sq.m.)
330,160,Aspire Sathorn - Thapra,2 Bedroom TYPE F (53.0 sq.m.)
331,161,Aspire Srinakarin,1 Bedroom (29.0 sq.m.)
332,162,Aspire Sukhumvit - Onnut,2 Bedrooms (41.0 - 52.0 sq.m.)
333,162,Aspire Sukhumvit - Onnut,1 Bedroom Flexi (30.50 sq.m.)
334,162,Aspire Sukhumvit - Onnut,1 Bedroom (36.0 sq.m.)
335,163,Aspire Sukhumvit - Rama 4,1 Bedroom (34.0 sq.m.)
336,163,Aspire Sukhumvit - Rama 4,Studio (26.50 sq.m.)
337,163,Aspire Sukhumvit - Rama 4,1 Bedroom Plus (34.0 sq.m.)
338,163,Aspire Sukhumvit - Rama 4,2 Bedroom (55.0 sq.m.)
339,163,Aspire Sukhumvit - Rama 4,Vertiplex TYPE G (25.0 sq.m.)
340,163,Aspire Sukhumvit - Rama 4,Vertiplex TYPE I (33.0 sq.m.)
341,164,Aspire Sukhumvit 48,1 Bedroom (25.0 - 38.0 sq.m.)
342,164,Aspire Sukhumvit 48,2 Bedroom (54.0 - 64.0 sq.m.)
343,165,Aspire Udon Thani,1 Bedroom (27.0 - 38.0 sq.m.)
344,165,Aspire Udon Thani,2 Bedroom (41.50 - 41.70 sq.m.)
345,166,Aspire Wutthakat,1 Bed (30.0 - 30.50 sq.m.)
346,166,Aspire Wutthakat,Studio (22.50 sq.m.)
347,166,Aspire Wutthakat,2 Bed (42.50 sq.m.)
348,167,Astra Sky River,3 Bedroom (96.79 - 98.24 sq.m.)
349,167,Astra Sky River,2 Bedroom Plus (73.61 - 73.82 sq.m.)
350,167,Astra Sky River,1 Bedroom Plus Garden (47.80 - 48.40 sq.m.)
351,167,Astra Sky River,1 Bedroom Plus (44.28 - 45.36 sq.m.)
352,167,Astra Sky River,1 Bedroom (34.89 - 42.05 sq.m.)
353,167,Astra Sky River,Studio (28.90 - 29.48 sq.m.)
354,168,Astro Chaeng Wattana,Duplex (80.15 - 114.80 sq.m.)
355,168,Astro Chaeng Wattana,1 Bedroom (28.15 - 37.20 sq.m.)
356,168,Astro Chaeng Wattana,3 Bedroom (88.10 sq.m.)
357,168,Astro Chaeng Wattana,2 Bedroom (55.10 - 51.15 sq.m.)
358,169,At First Sight,No information
359,170,At The Tree Condominium,No information
360,171,Athenee Residence,Penthouse (294.0 sq.m.)
361,171,Athenee Residence,2 Bedroom (94.0 - 130.0 sq.m.)
362,171,Athenee Residence,3 Bedroom (189.0 - 209.0 sq.m.)
363,172,Atlantis Condo Resort Pattaya,No information
364,173,Atmoz Bangna,1 Bedroom (23.0 - 0.0 sq.m.)
365,173,Atmoz Bangna,1 Bedroom Exclusive (26.0 - 0.0 sq.m.)
366,173,Atmoz Bangna,1 Bedroom Extra (28.0 - 0.0 sq.m.)
367,173,Atmoz Bangna,1 Bedroom Plus (33.0 - 0.0 sq.m.)
368,174,Atmoz Chaengwattana,1 Bedroom Plus (33.12 - 34.99 sq.m.)
369,174,Atmoz Chaengwattana,1 Bedroom Exclusive (29.04 - 31.64 sq.m.)
370,174,Atmoz Chaengwattana,1 Bedroom  (22.98 - 25.89 sq.m.)
371,174,Atmoz Chaengwattana,Studio (20.10 - 21.56 sq.m.)
372,175,Atmoz Flow Minburi,No information
373,176,Atmoz Ladprao 15,1 Bedroom Exclusive (28.21 - 29.12 sq.m.)
374,176,Atmoz Ladprao 15,1 Bedroom Plus (35.42 - 36.56 sq.m.)
375,176,Atmoz Ladprao 15,1 Bedroom (25.03 - 27.12 sq.m.)
376,177,Atmoz Ladprao 71,2 Bedroom (50.48 - 54.32 sq.m.)
377,177,Atmoz Ladprao 71,1 Bedroom Exclusive (28.94 - 41.59 sq.m.)
378,177,Atmoz Ladprao 71,1 Bedroom Plus (38.06 - 51.90 sq.m.)
379,177,Atmoz Ladprao 71,1 Bedroom (23.85 - 25.71 sq.m.)
380,178,Atmoz Ratchada - Huaikwang,2 Bedrooms (47.21 - 0.0 sq.m.)
381,178,Atmoz Ratchada - Huaikwang,1 Bedroom Plus (32.80 - 33.20 sq.m.)
382,178,Atmoz Ratchada - Huaikwang,1 Bedroom Exclusive (27.0 - 30.05 sq.m.)
383,178,Atmoz Ratchada - Huaikwang,1 Bedroom (22.35 - 23.97 sq.m.)
384,178,Atmoz Ratchada - Huaikwang,Studio (21.10 - 0.0 sq.m.)
385,179,Atrium Phahol - Suthisarn,No information
386,180,Atta\xa0Lakeside Resort Suite,Penthouse (203.0 - 235.0 sq.m.)
387,180,Atta\xa0Lakeside Resort Suite,2 Bedroom (97.50 - 185.0 sq.m.)
388,180,Atta\xa0Lakeside Resort Suite,1 Bedroom (65.0 - 83.0 sq.m.)
389,181,Attitude BU,1 Bedroom (27.0 - 30.0 sq.m.)
390,181,Attitude BU,Creative Type E (34.50 sq.m.)
391,181,Attitude BU,1 Bedroom Plus (34.50 sq.m.)
392,181,Attitude BU,Studio  (23.50 sq.m.)
393,182,Aue Pracha Condotown,No information
394,183,August Charoenkrung 80,No information
395,184,Aurora Pratumnak,No information
