unit_type_id,project_id,project_name,unit_type
1,1,101 Mansion,No information
2,2,103 Central Condominium,No information
3,3,103 Condominium 1,No information
4,4,103 Condominium 2,No information
5,5,103 Condominium 3,No information
6,6,103 Condominium 5,No information
7,7,107 Baring Condo,No information
8,8,125 SATHORN,No information
9,9,15 Suite,No information
10,10,15 Sukhumvit Residences,2 Bedroom (66.0 sq.m.)
11,10,15 Sukhumvit Residences,3 Bedroom (125.0 sq.m.)
12,10,15 Sukhumvit Residences,1 Bedroom  (36.0 sq.m.)
13,10,15 Sukhumvit Residences,Studio (23.0 sq.m.)
14,11,168 Sukhumvit 36,Studio  (27.42 - 29.12 sq.m.)
15,11,168 Sukhumvit 36,1 Bedroom (28.81 - 56.60 sq.m.)
16,11,168 Sukhumvit 36,2 Bedrooms (64.86 - 85.60 sq.m.)
17,11,168 Sukhumvit 36,Penthouse (85.0 - 125.0 sq.m.)
18,12,185 Ratchadamri,Duplex (135.0 - 151.0 sq.m.)
19,12,185 Ratchadamri,2 Bedroom (100.0 - 155.0 sq.m.)
20,12,185 Ratchadamri,1 Bedroom (61.0 - 70.0 sq.m.)
21,12,185 Ratchadamri,Duplex (346.0 - 356.0 sq.m.)
22,12,185 Ratchadamri,4 Bedroom (300.0 sq.m.)
23,12,185 Ratchadamri,3 Bedroom (161.0 - 226.0 sq.m.)
24,13,28 Chidlom,Penthouse (100.0 - 190.0 sq.m.)
25,13,28 Chidlom,studio (33.0 sq.m.)
26,13,28 Chidlom,3 Bedroom (120.0 - 200.0 sq.m.)
27,13,28 Chidlom,2 Bedroom (69.0 - 91.0 sq.m.)
28,13,28 Chidlom,1 Bedroom (40.0 - 50.0 sq.m.)
29,14,33 Tower,No information
30,15,333 Riverside,Villa (141.70 - 192.70 sq.m.)
31,15,333 Riverside,2 Bedroom (83.20 - 94.10 sq.m.)
32,15,333 Riverside,1 Bedroom (45.50 - 51.10 sq.m.)
33,16,38 Mansion,1 Bedroom  (N/A sq.m.)
34,16,38 Mansion,2 Bedroom (N/A sq.m.)
35,16,38 Mansion,Studio (N/A sq.m.)
36,17,39 Suite,No information
37,18,39 by Sansiri,2 Bedrooms (65.0 - 82.50 sq.m.)
38,18,39 by Sansiri,Penthouse (306.50 - 323.0 sq.m.)
39,18,39 by Sansiri,1 Bedroom (50.0 - 59.50 sq.m.)
40,18,39 by Sansiri,Duplex (3 Bedrooms) (106.0 sq.m.)
41,18,39 by Sansiri,3 Bedrooms (118.0 - 132.50 sq.m.)
42,19,49 Plus,No information
43,20,49 Plus 2,No information
44,21,49 Suite,No information
45,22,59 Heritage,1 Bedroom (N/A sq.m.)
46,22,59 Heritage,3 Bedroom (N/A sq.m.)
47,22,59 Heritage,2 Bedroom (N/A sq.m.)
48,23,624 Condolette Ladprao,No information
49,24,624 Condolette Ratchada 36,1 Bedroom (27.80 - 27.95 sq.m.)
50,24,624 Condolette Ratchada 36,Studio (23.16 sq.m.)
51,24,624 Condolette Ratchada 36,2 Bedroom (47.14 - 55.35 sq.m.)
52,25,88 The Terminal,2 Bedroom (64.0 - 117.50 sq.m.)
53,25,88 The Terminal,Studio (32.0 sq.m.)
54,25,88 The Terminal,1 Bedroom  (30.0 - 37.50 sq.m.)
55,26,9 Sriracha,No information
56,27,98 wireless,2 Bedrooms (119.75 - 143.50 sq.m.)
57,27,98 wireless,Duplex (231.50 - 245.50 sq.m.)
58,27,98 wireless,3 Bedrooms (237.75 - 366.25 sq.m.)
59,27,98 wireless,Penthouse (553.50 sq.m.)
60,27,98 wireless,Super Penthouse (1.00 sq.m.)
61,28,@ City Sukhumvit 101/1,No information
62,29,A Plus 2 @ Rattanathibet,No information
63,30,A Plus Condo,1 Bedroom (28.0 - 32.0 sq.m.)
