place_type,place_name,link_name,condo_link
Bangkok,Watthana,watthana,https://propertyhub.in.th/en/listings/for-sell-hyde-11-condo-sukhumvit-11-bts-nana-good-area---3582418
Bangkok,Watthana,watthana,https://propertyhub.in.th/en/listings/urgent-sale-ideo-mobi-sukhumvit-81---3776268
Bangkok,Watthana,watthana,https://propertyhub.in.th/en/listings/15-sukhumvit-residences--9c2f08ef---3839491
Bangkok,Watthana,watthana,https://propertyhub.in.th/en/listings/for-sale-d65-condo-unit-396-3---3738445
Bangkok,Watthana,watthana,https://propertyhub.in.th/en/listings/for-sale-the-base-sukhumvit-77-unit-289-583---3823618
Bangkok,Watthana,watthana,https://propertyhub.in.th/en/listings/for-sale-taka-haus-unit-59-163---3829099
Bangkok,Watthana,watthana,https://propertyhub.in.th/en/listings/for-sale-the-excel-sukhumvit-71-unit-148-10---3835387
Bangkok,Watthana,watthana,https://propertyhub.in.th/en/listings/condo-for-sale-c-ekkamai-nice-decorated-built-in-furniture---3372442
Bangkok,Watthana,watthana,https://propertyhub.in.th/en/listings/condo-for-sale-c-ekkamai-corner-room-fully-furnished-unblock-view---3532820
Bangkok,Watthana,watthana,https://propertyhub.in.th/en/listings/condo-for-sale-c-ekkamai-corner-room-nice-decorated-fully-furnished-2-tv---3532817
Bangkok,Watthana,watthana,https://propertyhub.in.th/en/listings/condo-for-sale-c-ekkamai-nice-decorated-built-in-furniture-unblock-swimming-pool-view-fully-furnished---3532833
Bangkok,Watthana,watthana,https://propertyhub.in.th/en/listings/condo-for-sale-c-ekkamai-corner-room-built-in-furniture-nice-decorated-unblock-view---3532844
Bangkok,Watthana,watthana,https://propertyhub.in.th/en/listings/206-sqm-sukhumvit-suite-condo-near-bts-nana--b19c09b1---3291297
Bangkok,Watthana,watthana,https://propertyhub.in.th/en/listings/condo-for-sale-the-room-sukhumvit-79--acc009ef---3726431
Bangkok,Watthana,watthana,https://propertyhub.in.th/en/listings/condo-for-sale-the-base-sukhumvit-77-1-bed-30-sq-m-6th-floor--b8d10a19---3204215
Bangkok,Watthana,watthana,https://propertyhub.in.th/en/listings/condo-for-sale-the-base-sukhumvit-77-1-bed-30-sq-m-6th-floor--aaa1097f---3214872
Bangkok,Watthana,watthana,https://propertyhub.in.th/en/listings/d65-condominium-big-room-with-fully-furnished-near-bts-ekkamai--b0bb0952---3724501
Bangkok,Watthana,watthana,https://propertyhub.in.th/en/listings/d25-condominium-big-room-with-fully-furnished-near-bts-thonglor--ab4908f9---3724495
Bangkok,Watthana,watthana,https://propertyhub.in.th/en/listings/aspire-sukhumvit-48-big-room-with-fully-furnished-near-bts-mrt--b3f809cc---3724464
Bangkok,Watthana,watthana,https://propertyhub.in.th/en/listings/8-9-quattro-by-sansiri-for-sale-️bts-ekkamai-️---3824940
Bangkok,Watthana,watthana,https://propertyhub.in.th/en/listings/the-madison--c0a10a61---3844929
Bangkok,Watthana,watthana,https://propertyhub.in.th/en/listings/⭐️⭐️-sale-️-noble-recole-sukhumvit-19-2-bed-63-sq-m-corner-room---3673242
Bangkok,Watthana,watthana,https://propertyhub.in.th/en/listings/for-sale-ceil-by-sansiri-call-0944788263---3775681
Bangkok,Watthana,watthana,https://propertyhub.in.th/en/listings/for-sale-lumpini-center-sukhumvit-77--97970879---3810384
