project_id,project_name,address,ceiling_height,completed_on,no_building,no_floor,total_units,utility_fee,bicycle_parking,cctv,convenience_store,fingerprint_access_control,fitness,jacuzzi,keycard_access_control,kids_playground,library,lift,massage_room,park_bbq_areas,parking,restaurant,sauna,security,shuttle_service,steam_room,swimming_pool,wifi,lat,lon,gg_address
21,59 Heritage,Watthana Bangkok,,2009.0,2.0,27.0,226.0,35.0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,13.724468632432393,100.5818067259578,"18 ซอย สุขุมวิท 59 Khlong Tan Nuea, Watthana, Bangkok 10110, Thailand"
22,624 Condolette Ladprao,Bang Kapi Bangkok,,2011.0,2.0,8.0,471.0,30.0,1,1,0,0,1,0,1,1,0,1,0,1,1,1,0,1,0,0,0,1,13.766523232432393,100.6492294259578,"46 Seri Thai Rd, Khlong Chan, Bang Kapi District, Bangkok 10240, Thailand"
23,624 Condolette Ratchada 36,Chatuchak Bangkok,2.55 m.,2013.0,3.0,8.0,486.0,30.0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,13.822095332432392,100.5767487259578,"RHCG+RMQ, Condolette, ซอย รัขดาภิเษก Chan Kasem, Chatuchak, Bangkok 10900, Thailand"
24,88 The Terminal,Bang Kruai Nonthaburi,2.4 m.,,1.0,12.0,278.0,35.0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,13.791762232432392,100.4740223259578,"วัดชลอ Prachim Ratthaya Expy, Bang Kruai, Bang Kruai District, Nonthaburi 11130, Thailand"
25,9 Sriracha,Si Racha Chonburi,,2013.0,1.0,7.0,73.0,,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,13.15595137106645,100.9346756928716,"444. ม.2 ถนน เก้ากิโล ซอย 9 Tambon Surasak, Si Racha District, Chon Buri 20110, Thailand"
26,98 wireless,Pathum Wan Bangkok,,2017.0,1.0,25.0,77.0,,0,1,0,0,1,1,0,1,0,1,1,1,1,0,0,1,0,1,1,1,13.741672632432392,100.5469343259578,"98 Witthayu Rd, Lumphini, Pathum Wan, Bangkok 10330, Thailand"
27,@ City Sukhumvit 101/1,Phra Khanong Bangkok,,2009.0,4.0,11.0,799.0,30.0,0,1,1,0,1,0,1,1,0,1,0,1,1,1,0,1,0,0,1,0,13.68789257106645,100.6243242928716,"MJQF+5P4, Wachiratham Sathit 31 Alley, Bang Chak, Phra Khanong, Bangkok 10260, Thailand"
28,A Plus 2 @ Rattanathibet,Muang Nonthaburi Nonthaburi,2.4 m.,2015.0,1.0,8.0,134.0,39.0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,13.859562032432391,100.5069372259578,"VG54+RQG, Rattanathibech 11, Tambon Bang Kraso, Mueang Nonthaburi District, Nonthaburi 11000, Thailand"
29,A Plus Condo,Muang Nonthaburi Nonthaburi,,2014.0,1.0,8.0,69.0,,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,13.85390587106645,100.5122406928716,"VG36+HV9 เรวดี ซอย 17 Tambon Talat Kwan, Mueang Nonthaburi District, Nonthaburi 11000, Thailand"
30,A Pool Bangna,Bang Na Bangkok,,2013.0,2.0,8.0,238.0,,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,13.664338532432392,100.6316697259578,"72 Bang Na-Trat 32 Alley, Bang Na Tai, Bang Na, Bangkok 10260, Thailand"
31,A Space Asoke - Ratchada,Din Daeng Bangkok,,2010.0,9.0,8.0,2177.0,35.0,0,1,0,0,1,0,1,1,0,1,0,1,1,0,0,1,0,0,1,0,13.756893432432392,100.5602191259578,"624 Thanon Asok - Din Daeng, Din Daeng, Bangkok 10400, Thailand"
32,A Space Hideaway Asoke - Ratchada,Din Daeng Bangkok,,2010.0,3.0,14.0,439.0,35.0,0,1,0,0,1,0,1,1,0,1,0,1,1,0,0,1,0,0,1,0,13.756893432432392,100.5602191259578,"624 Thanon Asok - Din Daeng, Din Daeng, Bangkok 10400, Thailand"
33,A Space ID Asoke - Ratchada,Din Daeng Bangkok,,2009.0,1.0,30.0,547.0,,1,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,13.756893432432392,100.5602191259578,"624 Thanon Asok - Din Daeng, Din Daeng, Bangkok 10400, Thailand"
34,A Space Kaset - Nawamin,Lat Phrao Bangkok,,2009.0,1.0,8.0,207.0,,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,13.832849632432392,100.6164663259578,"112 Prasert-Manukitch Rd, Lat Phrao, Bangkok 10230, Thailand"
35,A Space ME Bangna,Bang Plee Samut Prakarn,,2015.0,1.0,26.0,945.0,,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,13.640080432432391,100.6806890259578,"ทางคู่ขนาน ถนนบางนา-ตราด Bang Kaeo, Bang Phli District, Samut Prakan 10540, Thailand"
36,A Space Me Rattanathibet,Muang Nonthaburi Nonthaburi,,2017.0,1.0,22.0,401.0,,0,1,1,0,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,0,13.863347332432392,100.4976082259578,"VF7X+82Q, Tambon Bang Kraso, Mueang Nonthaburi District, Nonthaburi 11000, Thailand"
37,A Space Me Sukhumvit 77,Suan Luang Bangkok,2.5 m.,2013.0,3.0,8.0,832.0,,0,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,13.713241432432392,100.6346895259578,"2367 ซ. อ่อนนุช 37/1 แขวง อ่อนนุช Suan Luang, Bangkok 10250, Thailand"
38,A Space Mega 2,Bang Plee Samut Prakarn,- m.,,2.0,29.0,1001.0,,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,1,1,13.641702332432391,100.6785835259578,"JMRH+MCM, Bang Kaeo, Bang Phli District, Samut Prakan 10540, Thailand"
39,A Space Play Ratchada - Sutthisarn,Huai Khwang Bangkok,,2009.0,3.0,8.0,499.0,35.0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,13.789645232432392,100.5890624259578,"295 Sutthisan Winitchai Rd, Samsen Nok, Huai Khwang, Bangkok 10310, Thailand"
40,A Space Sukhumvit 77,Suan Luang Bangkok,,2007.0,8.0,7.0,1600.0,35.0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,13.713592332432391,100.6330416259578,"2345 อาคาร Aเอสเปชคอนโด สุขุมวิท 77 ตึกเอ Suan Luang, Bangkok 10250, Thailand"
41,A space mega,Bang Plee Samut Prakarn,- m.,2022.0,1.0,35.0,1328.0,,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,13.641223632432393,100.6790563259578,"98/1337 Bang Kaeo, Bang Phli District, Samut Prakan 10540, Thailand"
42,A.D Resort,Cha-Am Petchburi,,2014.0,5.0,8.0,1128.0,,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,12.87149567106645,99.9162190928716,"225 Moo 6, Tumbol Khun Don Huay, Hua Hin / Cha-am, Thailand 76120 76120 Thailand"
43,AD Bangsaray Lake & Resort,Sattahip Chonburi,,2013.0,6.0,8.0,1257.0,,0,1,1,0,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,12.76373527106645,100.9025040928716,"100/1020 Moo 2 Bangsaray Sattahip, 20250, Thailand"
44,AD Hyatt,Bang Lamung Chonburi,,2011.0,1.0,33.0,521.0,,0,1,1,0,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,0,12.96254627106645,100.8912960928716,"507 Na Kluea 16 Alley, Pattaya City, Bang Lamung District, Chon Buri 20150, Thailand"
45,AD Racha Residence,Bang Lamung Chonburi,,2009.0,1.0,7.0,1353.0,,0,1,1,0,1,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0,13.161169632432392,100.9315313259578,"261/4 M.2 T.Surasak A Si Racha District, Chon Buri 20110, Thailand"
46,AD Wongamat,Bang Lamung Chonburi,,2011.0,1.0,35.0,488.0,,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,12.914622032432392,100.8664451259578,"นาเกลือ 16 Bang Lamung District, Chon Buri 20150, Thailand"
47,ALBAR PENINSULA,Sattahip Chonburi,2.6 m.,2023.0,4.0,8.0,686.0,50.0,0,1,0,0,1,0,1,0,1,1,0,1,1,1,0,1,0,0,1,0,12.817892532432392,100.9160353259578,"150 หมู่ 4 Na Chom Thian, Sattahip District, Chon Buri 20250, Thailand"
48,AMF Condominium,Phaya Thai Bangkok,,1991.0,1.0,8.0,101.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.793743332432392,100.5513100259578,"QHV2+FGV, Sutthisan Winitchai 3 Alley, Samsen Nai, Phaya Thai, Bangkok 10400, Thailand"
49,ANDROMEDA Khao Phra Tamnak,Bang Lamung Chonburi,2.7 m.,2019.0,1.0,36.0,216.0,55.0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,12.918912532432392,100.8595845259578,"539 moo 12 kasetsin 11 alley Pattaya NUNGPRUE, Pattaya City, Bang Lamung District, Chon Buri 20150, Thailand"
50,APUS Condominium,Bang Lamung Chonburi,,,2.0,,158.0,,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1,1,12.935573432432392,100.8964414259578,"333 259 Soi Paniad Chang, Pattaya City, Bang Lamung District, Chon Buri 20150, Thailand"
51,AQ Alix Residence Soonvijai,Huai Khwang Bangkok,- m.,,1.0,7.0,66.0,,0,1,1,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,1,13.750318832432392,100.5831486259578,"33 Soi Phetchaburi 47 Yaek 10, Bang Kapi, Huai Khwang, Bangkok 10310, Thailand"
52,ARC condominium,Lak Si Bangkok,,,,,,,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,13.870645732432392,100.5775627259578,"299 หมู่ 3 Vibhavadi Rangsit 62 Alley, Lane 2, Talat Bang Khen, Lak Si, Bangkok 10210, Thailand"
53,ARISE Condo Ratchada 19,Din Daeng Bangkok,2.4 m.,2019.0,1.0,8.0,132.0,50.0,0,1,0,0,1,0,1,1,0,1,0,1,1,0,0,1,1,0,1,1,13.801176571066453,100.5716510928716,"327/1, Chatuchak, Bangkok 10900, Thailand"
54,AROM JOMTIEN - PATTAYA,Bang Lamung Chonburi,,2026.0,2.0,45.0,314.0,70.0,0,1,1,0,1,0,1,0,0,1,0,1,1,1,1,1,0,0,1,0,12.891577732432392,100.8736174259578,"โครงการอารมณ์ จอมเทียน Jomtiensaineung Rd, หนองปรือ Bang Lamung District, Chon Buri 20150, Thailand"
55,AROM WONGAMAT,Bang Lamung Chonburi,3.2 m.,2024.0,1.0,55.0,319.0,70.0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,1,0,1,1,0,12.965124032432392,100.8842886259578,"Na Kluea 16 Alley, Pattaya City, Bang Lamung District, Chon Buri 20150, Thailand"
56,AROON,Bangkok Noi Bangkok,- m.,,1.0,8.0,61.0,,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,13.755558832432392,100.4809944259578,"351 Thanon Phran Nok, Ban Chang Lo, Bangkok Noi, Bangkok 10700, Thailand"
57,ARTi Sukhumvit 71,Watthana Bangkok,"2.75,5 m.",2021.0,1.0,21.0,115.0,75.0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,13.729438732432392,100.5964475259578,"Sukhumvit 71 Rd, Khlong Tan Nuea, Watthana, Bangkok 10110, Thailand"
58,ASHER PRIVÉ SUTTHISAN,Huai Khwang Bangkok,2.4 m.,2020.0,1.0,8.0,79.0,55.0,0,1,0,0,1,1,1,0,1,1,0,1,1,0,0,1,0,0,1,0,13.792044732432393,100.5811327259578,"Amnuai Wat Alley, Samsen Nok, Huai Khwang, Bangkok 10310, Thailand"
59,ASHER Ratchada - Huai Khwang,Huai Khwang Bangkok,2.4 m.,2021.0,1.0,8.0,121.0,49.0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,1,1,13.785971532432391,100.5848242259578,"12 20 Mithuna Alley, Lane 5, Samsen Nok, Huai Khwang, Bangkok 10310, Thailand"
60,ASPIRE Rattanathibet-Weston,Muang Nonthaburi Nonthaburi,,2023.0,1.0,25.0,856.0,45.0,0,1,1,0,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,0,13.860515832432393,100.5083269259578,"Rattanathibet Rd, Bang Krasaw, Mueang Nonthaburi District, Nonthaburi 11000, Thailand"
61,Aashiana Sukhumvit 26,Khlong Toei Bangkok,,2016.0,1.0,9.0,13.0,,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,13.725051032432392,100.5720373259578,"59/29 Soi Sukhumvit 26, Khlong Tan, Khlong Toei, Bangkok 10110, Thailand"
62,Abac Condotown,Saphan Sung Bangkok,,1994.0,1.0,58.0,587.0,,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,13.751799132432392,100.6286936259578,"13 Ramkhamhaeng 24 Alley, Lane 34, Hua Mak, Bang Kapi District, Bangkok 10240, Thailand"
63,Abaconi Living Condo (ABAC Bangna Campus),Bang Bo Samut Prakarn,,2013.0,1.0,8.0,71.0,,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,13.615749032432392,100.8456820259578,"118, ตำบลบางบ่อ อำเภอบางบ่อ จังหวัดสมุทรปราการ, 10550 Thailand"
64,Ables Ladprao 27,Chatuchak Bangkok,- m.,2011.0,2.0,8.0,154.0,30.0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,13.804572632432391,100.5784722259578,"Lat Phrao 27 Alley, Chan Kasem, Chatuchak, Bangkok 10900, Thailand"
65,Abstracts Phahonyothin Park,Chatuchak Bangkok,,2012.0,3.0,34.0,1012.0,,0,1,0,0,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,0,13.817683432432393,100.5650900259578,"1076 Phahonyothin Road, Chom Phon, Chatuchak, Bangkok 10900, Thailand"
66,Abstracts Sukhumvit 66/1,Bang Na Bangkok,,2011.0,2.0,5.0,112.0,,0,1,0,0,1,0,1,0,1,1,0,1,1,0,0,1,0,0,1,0,13.679785432432393,100.6071202259578,"MJH4+WR9, Sukhumvit Road, Bang Na Nuea, Bang Na, Bangkok 10260, Thailand"
67,Acadamia Grand Tower,Watthana Bangkok,,1993.0,1.0,21.0,98.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.729444132432391,100.5729051259578,"43 9 Sukhumvit Road, Khwaeng Khlong Tan Nuea, Watthana, Bangkok 10110, Thailand"
68,Acqua,Bang Lamung Chonburi,,2014.0,2.0,8.0,309.0,,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,12.893254232432392,100.8760015259578,"31/360 Bang Lamung District, 20150, Thailand"
69,Adamas Phahonyotin,Phaya Thai Bangkok,,2001.0,1.0,16.0,71.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.779412132432393,100.5392343259578,"QGHQ+QM9 แขวงพญาไท Phaya Thai, Bangkok 10400, Thailand"
70,Addera Chaengwattana,Pak Kret Nonthaburi,2.5 m.,2012.0,1.0,8.0,176.0,,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,1,13.904919932432392,100.5315469259578,"11120 Chaeng Wattana-Parkkred 23 Alley, Tambon Khlong Klua, Pak Kret District, Nonthaburi 11120, Thailand"
