unit_type_id,project_id,project_name,unit_type
2268,1083,LYSS Condominium Ratchayothin,1 Bedroom (28.20 - 33.0 sq.m.)
2269,1083,LYSS Condominium Ratchayothin,Duplex (103.24 - 109.0 sq.m.)
2270,1083,LYSS Condominium Ratchayothin,2 Bedrooms (49.50 - 59.40 sq.m.)
2271,1084,La Cascade,No information
2272,1085,La Citta Delre Thonglor 16,LA DELRE (74.30 - 122.18 sq.m.)
2273,1085,La Citta Delre Thonglor 16,LA ATTICO (224.27 - 257.86 sq.m.)
2274,1085,La Citta Delre Thonglor 16,LA DELRE (194.47 sq.m.)
2275,1085,La Citta Delre Thonglor 16,LA DELRE (218.91 sq.m.)
2276,1085,La Citta Delre Thonglor 16,LA DELRE (147.10 - 184.27 sq.m.)
2277,1086,La Citta Penthouse,No information
2278,1087,La Maison  Phaholyothin 24,No information
2279,1088,La Maison Ruamrudee,No information
2280,1089,La Maison Sukhumvit 22,No information
2281,1090,La Royale Beach Pattaya,2 Bedrooms (N/A sq.m.)
2282,1090,La Royale Beach Pattaya,3 Bedrooms (N/A sq.m.)
2283,1091,La Salle Park,No information
2284,1092,La Santir Condo,1 Bedroom  (32.0 - 49.0 sq.m.)
2285,1092,La Santir Condo,Studio (26.25 sq.m.)
2286,1093,La Vie En Rose Place,2 Bedrooms (85.0 - 102.0 sq.m.)
2287,1093,La Vie En Rose Place,3 Bedrooms (125.0 - 226.0 sq.m.)
2288,1094,Ladda Condo View,No information
2289,1095,Ladda Place Condo Sriracha,No information
2290,1096,Ladda Plus Sriracha,Studio  (32.0 sq.m.)
2291,1096,Ladda Plus Sriracha,1 Bedroom (43.0 - 46.0 sq.m.)
2292,1096,Ladda Plus Sriracha,2 Bedroom (75.0 - 77.0 sq.m.)
2293,1097,Laddawan Mansion,No information
2294,1098,Laemchabang Tower,No information
2295,1099,Laguna Bay,2 Bedroom (62.0 sq.m.)
2296,1099,Laguna Bay,1 Bedroom  (41.50 sq.m.)
2297,1099,Laguna Bay,Studio (25.50 sq.m.)
2298,1100,Laguna Bay 2,1 Bedroom  (37.0 - 60.0 sq.m.)
2299,1100,Laguna Bay 2,Studio (25.0 sq.m.)
2300,1101,Laguna Beach Resort 2,No information
2301,1102,Laguna Beach Resort 3 The Maldives,Studio (23.0 - 41.0 sq.m.)
2302,1102,Laguna Beach Resort 3 The Maldives,1 Bedroom  (34.50 - 68.0 sq.m.)
