project_id,project_name,address,ceiling_height,completed_on,no_building,no_floor,total_units,utility_fee,bicycle_parking,cctv,convenience_store,fingerprint_access_control,fitness,jacuzzi,keycard_access_control,kids_playground,library,lift,massage_room,park_bbq_areas,parking,restaurant,sauna,security,shuttle_service,steam_room,swimming_pool,wifi,lat,lon,gg_address
1665,Pano Ville,Din Daeng Bangkok,,2011.0,1.0,8.0,124.0,39.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.799890732432392,100.5735267259578,"21 ซอย วิภาวดีรังสิต 16/43 วิภาวดีรังสิต Din Daeng, Bangkok 10400泰國"
1666,Pansook The Urban Condo,Muang Chiang Mai Chiang Mai,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.799913632432393,98.9732634259578,"QXXF+X86, Plubplueng Soi Alley, Tambon Chang Phueak, Mueang Chiang Mai District, Chiang Mai 50300泰國"
1667,Panya Resort Condominium,Muang Chon Buri Chonburi,,1994.0,3.0,,,,0,1,1,0,1,0,1,1,0,1,0,1,1,1,1,1,0,0,1,0,13.240654371066451,100.9490403928716,"782 ถ. สุขุมวิท Bang Phra, Si Racha District, Chon Buri 20130泰國"
1668,Paradise Beach Residence,Kathu Phuket,,2025.0,7.0,8.0,1152.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.882723671066451,98.2758561928716,"V7MG+38Q, Muen-Ngern Rd, Pa Tong, Kathu District, Phuket 83150泰國"
1669,Paradise Ocean View,Bang Lamung Chonburi,,2013.0,1.0,7.0,48.0,,0,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,0,0,1,1,13.010512732432392,100.9281552259578,"Bang Lamung 16 Alley, Pattaya City, Bang Lamung District, Chon Buri 20150泰國"
1670,Paradise Park Jomtien Resort,Bang Lamung Chonburi,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.887696832432393,100.8862585259578,"77/1 หมู่ที่ 12 Bang Lamung District, Chon Buri 20150泰國"
1671,Parano Condo @ Chiangmai,Muang Chiang Mai Chiang Mai,- m.,2015.0,1.0,8.0,185.0,,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,18.764841732432394,99.0351385259578,"ท่าศาลา Mueang Chiang Mai District, Chiang Mai 50000泰國"
1672,Parc Exo Kaset - Navamintra,Bueng Kum Bangkok,2.5 m.,2011.0,6.0,8.0,1352.0,,0,1,1,0,1,0,1,1,0,1,0,1,1,1,0,1,0,0,1,0,13.81173667106645,100.6671855928716,Parc Exo Condominium ซ.นวมินท์ 74 แยก 3-8 ถ.ประเสริฐมนูญกิจ คันนายาว รามอินทรา Bangkok 10230泰國
1673,Parc Residence @ Phahol,Bang Khen Bangkok,,2016.0,1.0,8.0,369.0,,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,13.889092032432393,100.5987044259578,"2 6 พหลโยธิน Anusawari, Bang Khen, Bangkok 10220泰國"
1674,Park 24,Khlong Toei Bangkok,2.75 m.,2018.0,6.0,28.0,837.0,65.0,0,1,1,0,1,0,1,0,0,1,0,1,1,1,0,1,1,0,1,1,13.72508017106645,100.5656896928716,"70 Sukhumvit 24 Alley, Khlong Tan, Khlong Toei, Bangkok 10110泰國"
1675,Park Beach,Bang Lamung Chonburi,,1997.0,1.0,36.0,350.0,,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,1,0,0,1,0,12.967065271066451,100.8846884928716,"592 ถนน Na Kluea 16 Alley, Muang Pattaya, Bang Lamung District, Chon Buri 20150泰國"
1676,Park Condo Dream Buri Ram,Muang Buri Ram Buri Ram,- m.,2018.0,1.0,8.0,226.0,,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,14.98074117106645,103.0741609928716,เลขที่ 218 บุรีรัมย์ - นางรอง เมือง Buri Ram 31000泰國
1677,Park Condo Dream Kanchanaburi,Muang Kanchanaburi Kanchanaburi,,,1.0,8.0,215.0,,0,1,1,0,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,14.00697487106645,99.54370889287159,"2G4V+QFW, Pak Phraek, Mueang Kanchanaburi District, Kanchanaburi 71000泰國"
1678,Park Condo Dream Maesot,Mae Sod Tak,,2017.0,2.0,8.0,270.0,,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1,16.721870332432395,98.58360982595781,"91 AH1, Tambon Mae Sot, Mae Sot District, Tak 63110泰國"
1679,Park Condo Dream Nakhon Ratchasima,Muang Nakhon Ratchasima Nakhon Ratchasima,,2017.0,2.0,8.0,407.0,,0,1,1,0,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,14.955713832432393,102.0302626259578,"3218 มิตรภาพ Tambon Ban Mai, Mueang Nakhon Ratchasima District, Nakhon Ratchasima 30000泰國"
1680,Park Condo Dream Nakhonsawan,Muang Nakhon Sawan Nakhon Sawan,,2016.0,2.0,8.0,284.0,,1,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1,1,15.704994332432392,100.1197126259578,"P439+XVW, Nakhon Sawan Tok, Amphoe Mueang Nakhon Sawan, Chang Wat Nakhon Sawan 60000泰國"
1681,Park Condo Dream Prachinburi,Sri Maha Pho Prachinburi,,2018.0,2.0,8.0,226.0,,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,13.898568932432392,101.5766362259578,"888 Tha Tum, Si Maha Phot District, Prachin Buri 25140泰國"
1682,Park Court Sukhumvit 77,Watthana Bangkok,2.7 m.,2017.0,5.0,7.0,70.0,55.0,1,1,0,0,1,0,1,1,0,1,0,1,1,0,0,1,1,0,1,1,13.714490532432393,100.6033157259578,"T77 Sukhumvit 77 Phra Khanong Nuea, Watthana, Bangkok 10110泰國"
1683,Park Lane Resort,Bang Lamung Chonburi,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.88970317106645,100.8876067928716,"52/591 หมู่ 12 ซอยวัดบุญกาญจนาราม 5 ตำบล หนองปรือ Bang Lamung District, Chon Buri 20150泰國"
1684,Park Ploenchit,Watthana Bangkok,- m.,1997.0,1.0,19.0,162.0,35.0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,13.747182232432392,100.5516055259578,"61 Sukhumvit 1 Alley, Khlong Toei Nuea, Watthana, Bangkok 10110泰國"
1685,Park Ramindra,Bang Khen Bangkok,- m.,2015.0,1.0,8.0,212.0,,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,13.853241532432392,100.6362717259578,"เลขที่ 1 Rarm Intra 47 Alley, Tha Raeng, Bang Khen, Bangkok 10220泰國"
1686,Park Royal 2,Bang Lamung Chonburi,,2011.0,1.0,8.0,85.0,40.0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,12.919025232432393,100.8694958259578,"163 Phra Tamnak, Pattaya City, Bang Lamung District, Chon Buri 20260泰國"
1687,Park Royal 3,Bang Lamung Chonburi,,2012.0,2.0,8.0,140.0,40.0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,12.910962032432392,100.8629460259578,"519 12 Phra Tamnak, Muang Pattaya, Bang Lamung District, Chon Buri 20150泰國"
1688,Park Siri Condo Resort Bangsaen,Muang Chon Buri Chonburi,,2015.0,3.0,8.0,494.0,,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,1,0,0,1,0,13.288921232432392,100.9314678259578,"ซอย 12, Saen Suk, Chon Buri District, Chon Buri 20130泰國"
1689,Park View  Vibhavadi,Lak Si Bangkok,,,17.0,8.0,,,0,1,1,0,1,0,1,1,0,1,0,1,1,1,1,1,0,0,1,0,13.89149997106645,100.5841335928716,Parkview Viphavadi 1 Kampaengphet 6 (Local road) Donmuang Bangkok 10210泰國
1690,Park Village Onnut - Suvarnabhumi,Prawet Bangkok,2.55 m.,2014.0,3.0,8.0,168.0,,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,1,0,0,1,0,13.720619832432392,100.6811330259578,"63/1 On Nut, Bangkok 10250泰國"
1691,Parque Phutthabucha 48,Thung Khru Bangkok,2.5 m.,2015.0,2.0,8.0,363.0,,0,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,0,0,1,1,13.646932132432392,100.4950039259578,"JFWW+Q2C, Phutthabucha 48, Bang Mot, Thung Khru, Bangkok 10140泰國"
1692,Patchara Place,Nong Khaem Bangkok,,1993.0,4.0,6.0,208.0,,0,1,0,0,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,0,13.687695032432392,100.3763732259578,"พัชรเพลสคอนโด 29 ถ. เลียบคลองภาษีเจริญฝั่งใต้ Nong Khaem, Bangkok 10160泰國"
1693,Pathumwan Oasis,Pathum Wan Bangkok,,2009.0,1.0,7.0,22.0,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.748358132432392,100.5272969259578,"56 Rama I Rd, Wang Mai, Pathum Wan, Bangkok 10330泰國"
1694,Pathumwan Place,Pathum Wan Bangkok,,,1.0,17.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.748694932432393,100.5304084259578,"10330 Phaya Thai Rd, Wang Mai, Pathum Wan, Bangkok 10330泰國"
