place_type,place_name,link_name,num_rent,num_sale,num_avg,flag
Bangkok,Bang Na,bang-na,5700,1530,3615.0,3
School,Wat Nuan Noradit School,wat-nuan-noradit-school,5581,1610,3595.5,3
School,Saint Francis Xavier Convent School,saint-francis-xavier-convent-school,5300,1864,3582.0,3
Nonthaburi,Muang Nonthaburi Nonthaburi,muang-nonthaburi-nonthaburi,5907,1235,3571.0,3
School,Lycée Français International de Bangkok,lyc%C3%A9e-fran%C3%A7ais-international-de-bangkok,4952,1915,3433.5,3
Bangkok,Phet Kasem Road,phet-kasem-road,5328,1486,3407.0,3
University/College,Inthrachai Commercial College,inthrachai-commercial-college,4895,1858,3376.5,3
University/College,Reserves Training Center Territorial Defense Department,reserves-training-center-territorial-defense-department,4590,2113,3351.5,3
School,Watrajaoros School,watrajaoros-school,5191,1424,3307.5,3
School,Silachara Phiphat School,silachara-phiphat-school,4984,1338,3161.0,3
University/College,Assumption University Huamark Campus (Abac Huamark),assumption-university-huamark-campus-abac-huamark,4801,1503,3152.0,3
BTS Sukhumvit Line,BTS Nana,bts-nana,3918,2269,3093.5,3
Bangkok,Bang Rak,bang-rak,3531,2612,3071.5,3
School,Wat Wettawan Thammawat School,wat-wettawan-thammawat-school,4767,1312,3039.5,3
Nonthaburi,Rattanathibet Road,rattanathibet-road--3,5114,943,3028.5,3
Bangkok,Suan Luang,suan-luang,4389,1608,2998.5,3
Nonthaburi,Esplanade Ngamwongwan-Khaerai,esplanade-ngamwongwan-khaerai,4670,1265,2967.5,3
School,Santirat Witthayalai School,santirat-witthayalai-school,3907,2002,2954.5,3
MRT Blue line,MRT Si Lom,mrt-si-lom,3417,2468,2942.5,3
BTS Silom Line,BTS Sala Daeng,bts-sala-daeng,3349,2428,2888.5,3
Bangkok,Sathon,sathon,3329,2409,2869.0,3
School,Bang Pakok Wittaya School,bang-pakok-wittaya-school,4231,1502,2866.5,3
International School,Singapore International School of Bangkok (SISB),singapore-international-school-of-bangkok-sisb,3963,1750,2856.5,3
BTS Sukhumvit Line,BTS Chit Lom,bts-chit-lom,3784,1926,2855.0,3
Bangkok,Bang Sue,bang-sue,4471,1224,2847.5,3
Samut Prakarn,Muang Samut Prakarn Samut Prakarn,muang-samut-prakarn-samut-prakarn,4477,1141,2809.0,3
School,Ramkhamhaeng University Demonstration Schoo,ramkhamhaeng-university-demonstration-schoo,4185,1423,2804.0,3
Bangkok,Pracha Uthit (Huai Khwang),pracha-uthit-huai-khwang,3915,1648,2781.5,3
BTS Sukhumvit Line,BTS Bang Chak,bts-bang-chak,3844,1579,2711.5,3
BTS Sukhumvit Line,BTS Punnawithi,bts-punnawithi,3763,1505,2634.0,3
BTS Sukhumvit Line,BTS Phloen Chit,bts-phloen-chit,3520,1653,2586.5,3
MRT Blue line,MRT Queen Sirikit National Convention Center,mrt-queen-sirikit-national-convention-center,2983,2173,2578.0,3
School,Song Wittaya School,song-wittaya-school,4036,1081,2558.5,3
School,Phaya Thai School,phaya-thai-school,3355,1682,2518.5,3
Bangkok,Khlong San,khlong-san,3352,1676,2514.0,3
MRT Blue line,MRT Sam Yan,mrt-sam-yan,2988,2025,2506.5,3
School,Wat Ratchabophit School,wat-ratchabophit-school,3376,1632,2504.0,3
BTS Sukhumvit Line,BTS Udom Suk,bts-udom-suk,3628,1339,2483.5,3
Bangkok,Ramkhamhaeng Road,ramkhamhaeng-road,3688,1148,2418.0,3
Bangkok,Thon Buri,thon-buri,3844,986,2415.0,3
Grey Line,Bangkok University Station,bangkok-university-station--2,2979,1796,2387.5,3
